median,lower90,upper90,region
5.588531607955901,3.5667205715301424,7.4737396868942945,AUS
5.344620855588873,3.306541399010838,7.070745801828437,NSW
5.62253767772179,4.06193080337281,7.253911133700825,VIC
5.89193239692797,3.934960300001956,7.998724891259745,QLD
5.8787398251316985,4.26035403535601,7.69846334433633,SA
4.93275153589521,3.2163839699946664,6.572553227176553,WA
5.6283372175465125,4.372940185997299,7.08606145601475,TAS
