name,median,lower5,upper95,vintage
NAIRU[1],5.528989233118667,4.779894914237956,6.252729469440516,2022-09-06
NAIRU[2],5.551384930676972,4.577678287090846,6.46283388928213,2022-09-06
NAIRU[3],5.568309113468722,4.461275512053192,6.59967150210604,2022-09-06
NAIRU[4],5.587537313943621,4.387097343127512,6.688364208725892,2022-09-06
NAIRU[5],5.635972127692211,4.386747560040177,6.780458716337908,2022-09-06
NAIRU[6],5.7450387530343,4.460309533323138,6.926045783189376,2022-09-06
NAIRU[7],5.872170613532668,4.562861683999786,7.092615099590795,2022-09-06
NAIRU[8],6.016139787258123,4.687000340118188,7.265889865883807,2022-09-06
NAIRU[9],6.118405060795855,4.792240020817886,7.383719817989269,2022-09-06
NAIRU[10],6.19930191032618,4.860524518037139,7.467584050941994,2022-09-06
NAIRU[11],6.253828341182936,4.900144839319723,7.541823457308142,2022-09-06
NAIRU[12],6.391682790674736,5.021092174001103,7.713104221281096,2022-09-06
NAIRU[13],6.564630036839651,5.1416148391210985,7.928683744483369,2022-09-06
NAIRU[14],6.7081942118431055,5.212160352372261,8.16790520299046,2022-09-06
NAIRU[15],6.688722169599495,5.178364182547336,8.197672597102205,2022-09-06
NAIRU[16],6.611480671348875,5.100917010661904,8.129993451849938,2022-09-06
NAIRU[17],6.552853667623806,5.063783475809944,8.067143238214094,2022-09-06
NAIRU[18],6.4531237709997455,4.996662173629394,7.92604142136333,2022-09-06
NAIRU[19],6.339776356343418,4.920514540659215,7.778382037113029,2022-09-06
NAIRU[20],6.327364955701459,4.9414273308678345,7.752406311165581,2022-09-06
NAIRU[21],6.2808988317468994,4.926751036004464,7.674701508701774,2022-09-06
NAIRU[22],6.253418298095815,4.928716603349605,7.637376184511949,2022-09-06
NAIRU[23],6.137347458816363,4.860717483093202,7.522700121145736,2022-09-06
NAIRU[24],6.051975879290975,4.789479967721533,7.438578551909583,2022-09-06
NAIRU[25],6.004393835281026,4.778095184595185,7.399579658454642,2022-09-06
NAIRU[26],5.976728705593783,4.789846327363331,7.379074039258801,2022-09-06
NAIRU[27],5.923013086293508,4.757368434832198,7.345512505528959,2022-09-06
NAIRU[28],5.915085215311252,4.775413185803103,7.358106861403706,2022-09-06
NAIRU[29],5.914327922699931,4.777404388343517,7.3638195505808834,2022-09-06
NAIRU[30],5.809540503657624,4.669419502562766,7.282396258253904,2022-09-06
NAIRU[31],5.771755225711871,4.637146643657296,7.272798380737055,2022-09-06
NAIRU[32],5.804313771752674,4.678209177696866,7.311572532466474,2022-09-06
NAIRU[33],5.863719762238082,4.755941752941799,7.361725781362301,2022-09-06
NAIRU[34],5.936091067015079,4.846411371840627,7.438798280699001,2022-09-06
NAIRU[35],5.893669946846648,4.812567334183615,7.427685559491261,2022-09-06
NAIRU[36],5.809312712831911,4.705886115537222,7.369969918761357,2022-09-06
NAIRU[37],5.826050477596555,4.721992729020219,7.397170746026723,2022-09-06
NAIRU[38],5.893621432244608,4.795748936022254,7.4769175652174,2022-09-06
NAIRU[39],6.059525155299056,4.957960214207057,7.645488798856342,2022-09-06
NAIRU[40],6.114960971079161,4.9432762942074975,7.70881084357604,2022-09-06
NAIRU[41],6.206941432766882,4.9425231841366255,7.822833903262118,2022-09-06
NAIRU[42],6.158547810624832,4.85096648281955,7.802063248888187,2022-09-06
NAIRU[43],6.054101311101315,4.723181365310008,7.723607279672475,2022-09-06
NAIRU[44],5.842834394049657,4.486334205913806,7.49567615998572,2022-09-06
NAIRU[45],5.600162618196125,4.257635163189174,7.163696923767003,2022-09-06
NAIRU[46],5.526884796750134,4.192386856873357,7.051718837675093,2022-09-06
NAIRU[47],5.508660971358541,4.237373827630339,6.974534458873684,2022-09-06
NAIRU[48],5.516925970691754,4.279844676896054,6.8936322323189625,2022-09-06
NAIRU[49],5.488440365384328,4.268135014208628,6.812500301164726,2022-09-06
NAIRU[50],5.411477310953737,4.2123107666214255,6.683300662792745,2022-09-06
NAIRU[51],5.261155124074551,4.053915624334949,6.526070072700499,2022-09-06
NAIRU[52],5.199576135760774,3.986407835959746,6.467357496094246,2022-09-06
NAIRU[53],5.129890747262248,3.8923250389323822,6.381967459806668,2022-09-06
NAIRU[54],5.128651719462048,3.893791065282431,6.347057675218796,2022-09-06
NAIRU[55],4.963400675773942,3.7086654532167653,6.153580305135021,2022-09-06
NAIRU[56],4.72132072866263,3.4387904628045667,5.91900211294192,2022-09-06
NAIRU[57],4.621156773951558,3.318405512040538,5.806767047256477,2022-09-06
NAIRU[58],4.565162673983576,3.225778360720293,5.73350516754888,2022-09-06
NAIRU[59],4.5301327019070525,3.158810162408686,5.684214765800277,2022-09-06
NAIRU[60],4.562225031344923,3.1497494323607484,5.691272924103399,2022-09-06
NAIRU[61],4.585851269263685,3.129910445939341,5.710380714752231,2022-09-06
NAIRU[62],4.608190760494821,3.0826856644395857,5.735491919892034,2022-09-06
NAIRU[63],4.683341274212558,3.0818297969306676,5.839184699076033,2022-09-06
NAIRU[64],4.723779322264466,3.053092220920834,5.916884415537542,2022-09-06
NAIRU[65],4.718491746219084,2.9890304719858194,5.951211501709077,2022-09-06
NAIRU[66],4.60121772698063,2.851770083337552,5.822225496214429,2022-09-06
NAIRU[67],4.5472231788218815,2.757914401027264,5.776418456876389,2022-09-06
NAIRU[68],4.454663557788116,2.619359466913273,5.677944776826409,2022-09-06
NAIRU[69],4.40136078360185,2.539218528163607,5.645406321619997,2022-09-06
NAIRU[70],4.318636336926278,2.4445196146800057,5.581589408012122,2022-09-06
NAIRU[71],4.224910247090843,2.3404478363035595,5.479561089132336,2022-09-06
NAIRU[72],4.064096641518271,2.18687674412735,5.324244740003728,2022-09-06
NAIRU[73],4.01422302737353,2.1236473435014998,5.269630230329256,2022-09-06
NAIRU[74],3.904039481472407,2.025275561531032,5.165493663272133,2022-09-06
NAIRU[75],3.917968311382558,2.0284603389532974,5.184428133395766,2022-09-06
NAIRU[76],3.9461408809474126,2.024919043674586,5.213667037591332,2022-09-06
NAIRU[77],3.977129183511622,2.0425127619989696,5.228801330431866,2022-09-06
NAIRU[78],4.0861942998642,2.135672761243131,5.3594268463739985,2022-09-06
NAIRU[79],4.135380595695638,2.172938394062739,5.4139559816708696,2022-09-06
NAIRU[80],4.120570856312874,2.1373696181024453,5.398611078148907,2022-09-06
NAIRU[81],4.134880253799832,2.1618034100829315,5.444455403241942,2022-09-06
NAIRU[82],4.146966211444429,2.1471977438347953,5.431979193666663,2022-09-06
NAIRU[83],4.1202586859020425,2.1214300983425094,5.430725188307112,2022-09-06
NAIRU[84],4.10859469587381,2.109294549409798,5.444197907163013,2022-09-06
NAIRU[85],4.09865320961269,2.085294558455891,5.435174704164151,2022-09-06
