variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,DLWPI_EST
NAIRU[1],5.674635484144955,5.686648557891806,5.4184786610029585,5.918919085908275,5.508050803500935,5.854653090457386,1997 Q4,7.977187499999999,0.8968669982760247
NAIRU[2],5.701760287450246,5.694914569745238,5.399370683659874,5.9934172645796435,5.509053135071466,5.894490337631395,1998 Q1,7.840956133333333,0.8888947417245774
NAIRU[3],5.732536642200963,5.740814757356377,5.425741009152113,6.031508836077336,5.516623422969766,5.916789541410636,1998 Q2,7.733828733333333,0.7347571630394789
NAIRU[4],5.753078652171813,5.762437388507394,5.412159846810007,6.0539283745535215,5.5508292494556,5.948293614797432,1998 Q3,7.7882881,0.729397836255341
NAIRU[5],5.772817574790841,5.779178624329324,5.428139850498361,6.088370105146316,5.54084615831423,5.984622276859755,1998 Q4,7.3748021,0.7241161256559714
NAIRU[6],5.807168632888998,5.813834850551456,5.478981082061567,6.157643657486582,5.575041401098085,6.0528879224353,1999 Q1,7.082459,0.862074304390692
NAIRU[7],5.83512514777329,5.845273562171114,5.484825761962295,6.205224973119335,5.590663830917701,6.055778881877895,1999 Q2,6.886110866666667,0.712761392423289
NAIRU[8],5.864092846632238,5.895760575440439,5.502773173330423,6.1930545437243945,5.597593934333264,6.104109882416412,1999 Q3,6.874404833333333,0.7077170374084396
NAIRU[9],5.912083281530107,5.943748354499014,5.509479264943497,6.263646638423627,5.64995912676486,6.155649299336445,1999 Q4,6.6339581333333335,0.7027435807457572
NAIRU[10],5.935967552402776,5.947147072242602,5.511755140235728,6.333381528921334,5.668583151282991,6.204501240549496,2000 Q1,6.650502033333333,0.5586606708638975
NAIRU[11],5.968494870733881,5.956562677699821,5.5858939717245715,6.395289546035612,5.701310254059419,6.206295060517392,2000 Q2,6.3020701,0.9702085806450711
NAIRU[12],5.993191975627868,5.979228170017159,5.588993115284323,6.436816388645648,5.732348126022463,6.281678952212252,2000 Q3,5.989740533333333,0.82418048951034
NAIRU[13],6.0013623568015815,6.0148406633401645,5.581415718031024,6.484341763723694,5.735494536891029,6.2601512088764,2000 Q4,6.172109266666666,0.9530364850694362
NAIRU[14],6.011927907986596,6.005632279455881,5.621766257462615,6.4940447076693335,5.76617316364125,6.247964564683345,2001 Q1,6.366243933333333,0.944039377908723
NAIRU[15],6.013879406118569,6.004357377029105,5.641880558977704,6.460235934113279,5.758054942773936,6.257740128248813,2001 Q2,6.869537533333333,0.9352105570280322
NAIRU[16],6.008638374850251,6.0093466344296305,5.603192779615061,6.436461448942452,5.767440054815345,6.235391535544998,2001 Q3,6.867782666666667,0.6626929487609345
NAIRU[17],5.9979628745937354,6.003941738241352,5.546736760806735,6.457266957335595,5.7543123752616205,6.231004027056361,2001 Q4,6.979481766666667,0.7894777847007539
NAIRU[18],5.9840642795426575,5.985325539640904,5.549841822430777,6.433654756695656,5.739713009098459,6.268621337136565,2002 Q1,6.6275595,0.7832938221187469
NAIRU[19],5.955360386984752,5.96484156608984,5.480936544601555,6.327776204980075,5.690286345582118,6.227205412059343,2002 Q2,6.404725666666667,0.7772059847702906
NAIRU[20],5.922841043371846,5.929862918635194,5.486332278485848,6.357068087412994,5.6883746511601725,6.165394084635989,2002 Q3,6.280471133333333,0.8991711191963958
NAIRU[21],5.877397747933903,5.861602029405091,5.445709130189332,6.3357976965447405,5.6176630883551,6.147709446331456,2002 Q4,6.157816866666667,0.8911580300563493
NAIRU[22],5.846487635181816,5.820775458700601,5.387868380062193,6.30335140597448,5.586434382313046,6.153142119099349,2003 Q1,6.056286166666666,1.0088357944340487
NAIRU[23],5.801495389915992,5.785376898493222,5.366135441920541,6.261367647231986,5.551124560627185,6.085803879168477,2003 Q2,6.051211533333333,0.7500035156546403
NAIRU[24],5.750116024199394,5.7322718258485,5.332493322500457,6.214384393357658,5.511537460431299,6.0300097632327585,2003 Q3,5.9071963,0.8679533719723409
NAIRU[25],5.705841392831677,5.692997118465071,5.260553450576832,6.176820940137538,5.452151750595226,5.981974584695921,2003 Q4,5.708952,0.9828088936262525
NAIRU[26],5.657841117531248,5.6406509518557595,5.268660486643493,6.108155193438431,5.3848702092722185,5.905445967484792,2004 Q1,5.5373783,0.8521049731933239
NAIRU[27],5.617438350544698,5.6081573479287865,5.179572746052276,6.090048785192989,5.357011669632512,5.908416165701006,2004 Q2,5.435813933333333,0.8449054486527885
NAIRU[28],5.566664210116877,5.551215814016649,5.180991980415231,6.051153764204483,5.310473413963999,5.852046161719543,2004 Q3,5.479516333333334,0.8378265645998084
NAIRU[29],5.534538339080181,5.517233668754917,5.133718213812556,6.082709222817332,5.260974834039111,5.791815306735135,2004 Q4,5.117552766666667,1.0669929324696348
NAIRU[30],5.471350416686125,5.461722046166798,5.097576842778522,5.91792573549281,5.1899171814526,5.717844852082609,2005 Q1,5.106783733333334,1.0557282805876866
NAIRU[31],5.41819152104433,5.38904701846681,5.045408884801958,5.876198616995006,5.151013448600461,5.6719033268098284,2005 Q2,5.0571962,1.0446989964655096
