date_qtr,expectations,import_price,unemp_gap,momentum,dummies,aena_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
1997 Q4,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
1998 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
1998 Q4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
1999 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1999 Q2,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
1999 Q3,0.719126434749837,0.05784226763265138,-0.17242188320815444,0.004508102791907647,0,0.0333970954009116,0.6424520173671531,0.8,0.15754798263284697,-0.042452017367153094,0.057547982632846884,-0.14245201736715307,-0.042452017367153094
1999 Q4,0.7453987224173829,0.025285600817668473,-0.14070783643677562,2.807932040939197e-4,0,0.006116252162887137,0.6363735321652568,0.6,-0.03637353216525685,0.06362646783474313,-0.13637353216525683,-0.03637353216525685,-0.03637353216525685
2000 Q1,0.7359452879029472,0.026108335136096266,-0.12923596882004307,0.005704519729373189,0,-0.022621654586344245,0.6159005193620293,0.7,0.08409948063797068,-0.11590051936202928,-0.015900519362029297,-0.015900519362029297,0.3840994806379707
2000 Q2,0.7133901273988443,-0.04888504610197089,-0.09341078267970779,-4.269252560764435e-4,0,0.02074354704885089,0.59141092040994,0.5,-0.09141092040994003,0.008589079590059945,0.008589079590059945,0.40858907959005997,0.20858907959006
2000 Q3,0.7071375523862623,-0.07086922909845686,-0.05589103390509676,0.009189835966941418,0,-0.005707018118391633,0.5838601072312586,0.6,0.016139892768741393,0.016139892768741393,0.4161398927687414,0.21613989276874146,0.11613989276874137
2000 Q4,0.7049462829781832,-0.058123934760265825,-0.0515984079635035,0.007985837603298572,0,-0.016643200853801016,0.5865665770039115,0.6,0.013433422996088518,0.41343342299608854,0.21343342299608858,0.1134334229960885,0.31343342299608856
2001 Q1,0.6746929980090481,-0.020482195400412753,-0.048904757799706385,-0.004518551111353091,0,0.029592642856139884,0.6303801365537158,1,0.36961986344628417,0.1696198634462842,0.06961986344628412,0.2696198634462842,0.06961986344628412
2001 Q2,0.6789952285222927,0.014649745203334879,-0.08596611275590083,-0.004481773336331095,0,-0.023214354888416576,0.579982732744979,0.8,0.22001726725502102,0.12001726725502093,0.320017267255021,0.12001726725502093,0.020017267255020954
2001 Q3,0.6867048256020266,0.016237839070378512,-0.1102354415373199,-0.011542160527741575,0,-0.018277712104906422,0.5628873505024371,0.7,0.13711264949756286,0.3371126494975629,0.13711264949756286,0.03711264949756288,0.13711264949756286
2001 Q4,0.6813585871509015,0.030278654771273148,-0.14189289111040645,4.0969956877685215e-5,0,0.00901516920446826,0.578800489973114,0.9,0.32119951002688607,0.121199510026886,0.021199510026886026,0.121199510026886,0.121199510026886
2002 Q1,0.6949765808021581,0.0268433279479783,-0.13858107732401,-0.00266215364827195,0,0.01980294234585784,0.6003796201237123,0.7,0.09962037987628769,-3.796201237122876e-4,0.09962037987628769,0.09962037987628769,0.19962037987628778
2002 Q2,0.7038449119667926,0.035870173293739455,-0.12820215187021688,0.008689522891017053,0,-0.006563983423171152,0.6136384728581611,0.6,-0.01363847285816111,0.08636152714183887,0.08636152714183887,0.18636152714183896,-0.11363847285816109
2002 Q3,0.7059214552278519,0.0072948742431429596,-0.11410662776726205,0.005579948452248719,0,-0.006928636513400443,0.597761013642581,0.7,0.1022389863574189,0.1022389863574189,0.202238986357419,-0.09776101364258105,0.1022389863574189
2002 Q4,0.7149618756130163,0.04239299524802221,-0.09280590152368114,0.003184183602635194,0,0.015933899619521255,0.6836670525595138,0.7,0.01633294744048619,0.11633294744048628,-0.18366705255951377,0.01633294744048619,0.01633294744048619
2003 Q1,0.7212029780108962,-0.009770143162069728,-0.08086733980193153,0.0031954142700527668,0,-0.01685834676834827,0.6169025625485994,0.8,0.1830974374514006,-0.11690256254859943,0.08309743745140052,0.08309743745140052,0.08309743745140052
2003 Q2,0.70741289513911,-0.034272761381045264,-0.07931809801998713,0.0026579937725345927,0,0.009722523954587696,0.6062025534651999,0.5,-0.10620255346519991,0.09379744653480004,0.09379744653480004,0.09379744653480004,-0.006202553465199934
2003 Q3,0.7043726522430838,0.02015480070876023,-0.06891769550913063,1.2479754983800052e-4,0,0.009173446892213851,0.6649080018847652,0.7,0.03509199811523478,0.03509199811523478,0.03509199811523478,-0.0649080018847652,-0.0649080018847652
2003 Q4,0.7093632396384475,0.0025233761502072892,-0.057410823940097756,0.0039807717314676696,0,-0.003623731969982639,0.654832831610042,0.7,0.045167168389957935,0.045167168389957935,-0.05483283161004204,-0.05483283161004204,0.14516716838995802
2004 Q1,0.7126214622138112,0.029934292125687084,-0.041554824771117105,0.005648489908377967,0,-0.014008640494656131,0.6926407789821031,0.7,0.0073592210178968775,-0.0926407789821031,-0.0926407789821031,0.10735922101789697,-0.0926407789821031
2004 Q2,0.7237728437041409,0.02535063344174523,-0.030091915833992962,0.004984856874615452,0,0.005679072009035975,0.7296954901955446,0.6,-0.1296954901955446,-0.1296954901955446,0.07030450980445546,-0.1296954901955446,-0.1296954901955446
2004 Q3,0.7222010954899688,-0.009595426380351924,-0.026354505143464282,0.002919995474497018,0,-0.009865659717452763,0.6793054997231969,0.6,-0.07930549972319689,0.12069450027680317,-0.07930549972319689,-0.07930549972319689,-0.07930549972319689
