variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[1],5.7355321910691,5.725744311901455,5.44992037143375,6.010724027930513,5.55562397805104,5.920693452135192,1997 Q4,7.976889866666666,6.3871470386661855,-0.3431715515760825
NAIRU[2],5.770389879197785,5.776116958099218,5.4741133853032835,6.0679669624626005,5.585427724743475,5.968075733710531,1998 Q1,7.840336933333333,8.205906323515144,0.40267099057189615
NAIRU[3],5.807473219480515,5.807576976173493,5.501376613118291,6.149533725567227,5.597454533933975,6.028835913269658,1998 Q2,7.7336222333333335,10.244080555449209,0.4764555945192539
NAIRU[4],5.828352597541789,5.814683894982296,5.496740959567832,6.205183714385235,5.6060331853448595,6.061509244252366,1998 Q3,7.7878287,11.102625319350423,1.1487723224013369
NAIRU[5],5.856805101138977,5.842269253061248,5.5136635515854016,6.25369226356482,5.635250455116154,6.099677871983641,1998 Q4,7.374538133333333,6.51638942498538,-0.9142552438001106
NAIRU[6],5.878628059180648,5.851343905883402,5.537775228752496,6.287042300546479,5.655666600943344,6.1066501990065225,1999 Q1,7.0822855,3.2587647998844282,0.09506024423613368
NAIRU[7],5.9124888867692675,5.8872982532648,5.551594633632538,6.309524980360404,5.691296805989043,6.154426800703435,1999 Q2,6.8858828,-1.1469027348764982,1.221535127532647
NAIRU[8],5.935775536102143,5.915501862960458,5.554484391909353,6.337885116699609,5.704252460564335,6.190536491617816,1999 Q3,6.874058633333333,-5.666003356549165,-0.7579206026584684
NAIRU[9],5.965760227635486,5.957921025562009,5.59101917395537,6.372205945103129,5.7220926007514334,6.216740828288101,1999 Q4,6.6336383,-3.9118416595471217,1.0769684147841074
NAIRU[10],5.98520369099593,5.982501364978543,5.618750395990372,6.420927891615872,5.722238992156892,6.217473893416193,2000 Q1,6.650677533333333,-2.0131970951924316,1.2791092911872415
NAIRU[11],6.016682522537276,6.002316311194805,5.602227285269912,6.4785071851610905,5.771130508747888,6.269907457594809,2000 Q2,6.301838766666666,4.170891253848286,0.22199009694079397
NAIRU[12],6.026410734989643,6.004672853226771,5.612822742322048,6.511857897809695,5.7666542524075854,6.290964208530518,2000 Q3,5.9894548,5.919918008416758,1.6006092804463634
NAIRU[13],6.021848380284153,6.003992145953019,5.592074009066599,6.490957145238572,5.729827954407208,6.330716100643614,2000 Q4,6.171808733333333,8.981477240732882,1.696677778950595
NAIRU[14],6.009003320014003,5.995991251492539,5.580174444834075,6.483997427750374,5.728754131151035,6.277130032057143,2001 Q1,6.366911866666666,8.228463259096674,0.8780408499072356
NAIRU[15],5.98499035055166,5.9872147273305725,5.548321047732046,6.454832747122118,5.700312632028329,6.239765960073909,2001 Q2,6.8692716,8.246203732647572,0.5173479262792213
NAIRU[16],5.958787143866746,5.954554567646177,5.517630371270396,6.428875372638774,5.677563605007906,6.254816913337029,2001 Q3,6.867474566666667,5.66886876816568,-0.06864248775311221
NAIRU[17],5.932600318305567,5.927438349352821,5.493221669583816,6.370801955175783,5.652313225406653,6.224708601047396,2001 Q4,6.9792518,2.8755974987303645,-0.05343376428146307
NAIRU[18],5.896446773329499,5.886459884848771,5.469193361996863,6.360725625085688,5.648570241657057,6.199553709167896,2002 Q1,6.626553033333333,1.9355442952956103,0.47007120112489975
NAIRU[19],5.856451626698562,5.856687691669849,5.469276770758699,6.297695597960307,5.57862212029548,6.128333862717689,2002 Q2,6.404464933333333,-4.324132417319415,-0.136413350834097
NAIRU[20],5.831476368062665,5.828618968558288,5.402703732433904,6.25388944823573,5.539177534843648,6.121844484185512,2002 Q3,6.280207333333333,-2.753210339020118,1.5154858892433731
NAIRU[21],5.796175410915972,5.79719675597079,5.39518715232019,6.265517497599185,5.521959952511683,6.073270336992266,2002 Q4,6.157576933333333,-4.345011692652445,-0.008033845420829522
NAIRU[22],5.745485094885331,5.730227716431521,5.322193536233564,6.2011625304973155,5.511314844169889,6.008272518485952,2003 Q1,6.055637866666666,-4.659608729443221,1.5417337648650609
NAIRU[23],5.685439263236371,5.683718264157587,5.262777085490973,6.064082252980743,5.431921630554881,5.944487059590135,2003 Q2,6.0509699333333336,-5.552309049921789,1.5545877755401616
NAIRU[24],5.62218374558157,5.62026374323986,5.203144507119529,6.013247185846491,5.382983981836564,5.872850769865256,2003 Q3,5.906949233333333,-8.031641781620547,-0.5915692490312319
NAIRU[25],5.573430924331533,5.565891944252495,5.163841233670255,5.961626798231252,5.322369856111653,5.809552685075806,2003 Q4,5.708745633333334,-10.389959501815138,0.09234868097014459
NAIRU[26],5.524614788555974,5.516410016868388,5.115096380974954,5.878848933089218,5.269544966405196,5.766279886084761,2004 Q1,5.5370039,-11.98772772594987,1.372697846812354
NAIRU[27],5.487955474383801,5.493449799927065,5.093951225519324,5.837436506252249,5.21794515920914,5.733901699634992,2004 Q2,5.435606533333333,-6.52308022313326,0.7524544870042504
NAIRU[28],5.444769478585045,5.446986448604905,5.045124048563853,5.7951593546620375,5.20196646942872,5.6829604221961265,2004 Q3,5.479305166666667,-2.613938820303563,1.478321176263253
NAIRU[29],5.413157135875822,5.427416274903765,5.014378772533394,5.760313814558123,5.155724950334207,5.645590413746713,2004 Q4,5.1174137,-2.0277192439150937,1.3455660850897333
NAIRU[30],5.363573792388193,5.375102829131279,4.953504435161795,5.763111395899562,5.096101150697697,5.612894150287679,2005 Q1,5.1068706,-0.5676458004804985,0.8776221927317307
NAIRU[31],5.330909334302468,5.345610512330884,4.91574061769328,5.72752164108525,5.0731053354325235,5.584560931670834,2005 Q2,5.0570087,-2.6194201090823377,0.7521723333481445
NAIRU[32],5.303356701258344,5.315718955880312,4.860164511402727,5.67194061305198,5.056475875636088,5.56833439318549,2005 Q3,4.9584329333333335,-2.6841037524811817,1.1538038228051883
NAIRU[33],5.275862670231608,5.270263216003331,4.887436708299903,5.632125889759555,5.055321528368246,5.506489973591481,2005 Q4,5.007769766666667,-1.0294896726862568,0.5391245840280723
NAIRU[34],5.261220554758356,5.252164685601369,4.867561907424771,5.653463321189344,5.0370650369316925,5.498390759886064,2006 Q1,5.0445391,1.1320875624481808,1.8720056352304892
NAIRU[35],5.236957079619945,5.242045921899329,4.849005906782589,5.63183986912683,5.003493811087112,5.473804879627598,2006 Q2,4.8571941,1.2246973609973288,1.253496809367638
NAIRU[36],5.221088173,5.213272948140226,4.879610731155462,5.60643000933825,4.9634159739668124,5.452635250541209,2006 Q3,4.678232,-0.7532992307544895,0.3087006073639875
NAIRU[37],5.218330040226498,5.206929428003743,4.8687389890851565,5.606546088382103,4.984389539920649,5.471415753222121,2006 Q4,4.5153792,-1.5166167471410752,2.189700930075511
