date_qtr,expectations,import_price,unemp_gap,momentum,dummies,ulc_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
1997 Q4,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
1998 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
1998 Q4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
1999 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1999 Q2,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
1999 Q3,0.6867867021720416,0.04710576121043472,-0.12960029936420753,0.0020791550176535722,0,0.06637659329240606,0.6727479123283284,0.8,0.12725208767167162,-0.07274791232832845,0.027252087671671532,-0.17274791232832842,-0.07274791232832845
1999 Q4,0.7118775025289857,0.0238508679845898,-0.08740400109180944,1.2973551691232278e-4,0,0.01843252236218227,0.6668866273008607,0.6,-0.0668866273008607,0.033113372699139276,-0.16688662730086068,-0.0668866273008607,-0.0668866273008607
2000 Q1,0.7028491970730374,0.01855162278824209,-0.06256427704128201,0.0026308062079556183,0,-0.006717270969016535,0.6547500780589366,0.7,0.045249921941063365,-0.1547500780589366,-0.05475007805893661,-0.05475007805893661,0.3452499219410634
2000 Q2,0.6813083614827525,-0.05291267168080404,-0.014785251173789985,-1.9686617453703044e-4,0,0.047241962395292034,0.6606555348489134,0.5,-0.16065553484891337,-0.060655534848913395,-0.060655534848913395,0.3393444651510866,0.13934446515108667
2000 Q3,0.6753369701314273,-0.06263468667844536,0.03948106920409865,0.0042383967684915145,0,-0.02712554478042048,0.6292962046451516,0.6,-0.02929620464515159,-0.02929620464515159,0.37070379535484843,0.17070379535484848,0.07070379535484839
2000 Q4,0.6732442439881189,-0.054488373950951914,0.0501503636903569,0.0036833693653497298,0,-0.019869229683047725,0.6527203734098258,0.6,-0.05272037340982583,0.3472796265901742,0.14727962659017424,0.04727962659017415,0.24727962659017422
2001 Q1,0.6443514751928081,-0.009959469091297295,0.06200882217243929,-0.0020841460523994713,0,4.6105578158397824e-4,0.6947777380031346,1,0.3052222619968654,0.10522226199686546,0.005222261996865374,0.20522226199686544,0.005222261996865374
2001 Q2,0.648460230709775,0.011981840601034665,0.024702921594282338,-0.0020670011280246947,0,-0.05099013383412022,0.6320878579429471,0.8,0.16791214205705296,0.06791214205705287,0.26791214205705294,0.06791214205705287,-0.03208785794294711
2001 Q3,0.6558231205961794,0.02028240851816031,-0.00567911281523447,-0.005323401727251505,0,-0.028637263430916517,0.6364657511409372,0.7,0.06353424885906278,0.26353424885906285,0.06353424885906278,-0.0364657511409372,0.06353424885906278
2001 Q4,0.650717307073762,0.025620590027880724,-0.05275733084642101,1.8827674472008217e-5,0,0.01300610370900585,0.6366054976386997,0.9,0.26339450236130035,0.06339450236130029,-0.03660549763869969,0.06339450236130029,0.06339450236130029
2002 Q1,0.6637228878701344,0.027726271545212785,-0.060028787747808815,-0.0012276904545101,0,0.02752009490305271,0.657712776116081,0.7,0.04228722388391892,-0.057712776116081055,0.04228722388391892,0.04228722388391892,0.142287223883919
2002 Q2,0.6721924025757754,0.02958070756753687,-0.05883728843197941,0.004007704429991294,0,0.040379616467321654,0.6873231426086458,0.6,-0.08732314260864582,0.012676857391354157,0.012676857391354157,0.11267685739135425,-0.1873231426086458
2002 Q3,0.674175561905298,0.006170673417110712,-0.050509916295439675,0.00257347013601097,0,0.0343437117736185,0.6667535009365986,0.7,0.03324649906340138,0.03324649906340138,0.13324649906340147,-0.16675350093659858,0.03324649906340138
2002 Q4,0.6828094268316177,0.04105255549438754,-0.03454757489339874,0.0014685510773311458,0,0.006462998588652237,0.6972459570985899,0.7,0.0027540429014100143,0.1027540429014101,-0.19724595709858994,0.0027540429014100143,0.0027540429014100143
2003 Q1,0.6887698615015643,-0.020866033755401255,-0.025161518500822683,0.0014738028823441283,0,0.02602528110383759,0.670241393231522,0.8,0.12975860676847806,-0.170241393231522,0.02975860676847797,0.02975860676847797,0.02975860676847797
2003 Q2,0.6755999304845132,-0.023531382204365518,-0.03231949587285954,0.0012258762068947195,0,-0.034350336908573406,0.5866245917056094,0.5,-0.08662459170560943,0.11337540829439052,0.11337540829439052,0.11337540829439052,0.013375408294390545
2003 Q3,0.6726964099191899,0.014934115169810675,-0.030659488761260945,5.7483150267812115e-5,0,0.013006290504590609,0.670034809982598,0.7,0.029965190017401944,0.029965190017401944,0.029965190017401944,-0.07003480998259803,-0.07003480998259803
2003 Q4,0.6774625663188716,0.004292249563287609,-0.024352021766447417,0.001835930182064237,0,-0.03343149686874379,0.625807227429032,0.7,0.0741927725709679,0.0741927725709679,-0.025807227429032076,-0.025807227429032076,0.174192772570968
2004 Q1,0.6805742638303877,0.02822177282452412,-0.01869987904313911,0.002605166469719724,0,5.71995034448403e-4,0.6932733191159408,0.7,0.006726680884059144,-0.09327331911594083,-0.09327331911594083,0.10672668088405923,-0.09327331911594083
2004 Q2,0.6912241581303659,0.020786968081215693,-0.00795489544300517,0.0022991687125614607,0,0.05628660053819545,0.7626420000193332,0.6,-0.16264200001933327,-0.16264200001933327,0.0373579999806668,-0.16264200001933327,-0.16264200001933327
