variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST,DLWPI_EST
NAIRU[1],5.82932228215243,5.848319611730231,5.483305963473328,6.1184652867239295,5.605679139964746,6.035732574211164,1997 Q4,7.977118433333333,6.3871470386661855,0.5,0.8968669982760247
NAIRU[2],5.875674509995133,5.895475519035249,5.522074298955424,6.179365595214711,5.630089910446068,6.081811097796714,1998 Q1,7.840892999999999,8.205906323515144,0,0.8888947417245774
NAIRU[3],5.923543209244705,5.935033114259248,5.578811733756445,6.243313886771197,5.6865934277802825,6.1656915767618194,1998 Q2,7.7338105,10.244080555449209,0.4,0.7347571630394789
NAIRU[4],5.971945272074976,5.997980678154667,5.615548173847561,6.310807278315952,5.7329336434089475,6.1883097157226015,1998 Q3,7.7882120666666665,11.102625319350423,3.1,0.729397836255341
NAIRU[5],6.003495889870133,6.037930122201374,5.6764414983212,6.33143807613458,5.786282914462503,6.1957253146011375,1998 Q4,7.374755899999999,6.51638942498538,0.2,0.7241161256559714
NAIRU[6],6.040611645487259,6.0440732996779545,5.707326519279492,6.377797879008092,5.817163353974123,6.247900865890499,1999 Q1,7.082415466666666,3.2587647998844282,0.3,0.862074304390692
NAIRU[7],6.066504684064389,6.056501502352486,5.761874268308017,6.42516377467544,5.8604919476607185,6.291786978416248,1999 Q2,6.8860813,-1.1469027348764982,1.6,0.712761392423289
NAIRU[8],6.105148717693319,6.106970254653179,5.793951592916818,6.464802414984797,5.89378587233554,6.320741801700027,1999 Q3,6.874349933333334,-5.666003356549165,0,0.7077170374084396
NAIRU[9],6.155163404074587,6.146588266258778,5.8424406771408846,6.50364013972226,5.935445071331254,6.385719663535545,1999 Q4,6.6339098666666665,-3.9118416595471217,0.9,0.7027435807457572
NAIRU[10],6.197640766517114,6.1848453283974925,5.878821577513171,6.649046184898918,5.964329229771483,6.417057167701063,2000 Q1,6.650463,-2.0131970951924316,1.4,0.5586606708638975
NAIRU[11],6.240562952406552,6.2125304558951004,5.908878970444787,6.71661788297667,6.020728632356855,6.470971771096442,2000 Q2,6.3020363,4.170891253848286,-0.6,0.9702085806450711
NAIRU[12],6.272699579432009,6.270710152428819,5.933205628884966,6.720565861580086,6.039022421666192,6.486469358863272,2000 Q3,5.989699766666667,5.919918008416758,1.6,0.82418048951034
NAIRU[13],6.289661297191349,6.28325802017681,5.939013768453105,6.739599816292758,6.046154262499192,6.500769540993877,2000 Q4,6.172068733333334,8.981477240732882,3.1,0.9530364850694362
NAIRU[14],6.2684807303974015,6.264235416435624,5.9064294548176655,6.682669561680871,6.01848680057025,6.511920914515639,2001 Q1,6.366215333333333,8.228463259096674,1.9,0.944039377908723
NAIRU[15],6.2565683048576535,6.249294865724734,5.893104490415584,6.6380658241334665,5.98134742014588,6.515460393246101,2001 Q2,6.869499366666666,8.246203732647572,0.5,0.9352105570280322
NAIRU[16],6.230393617431183,6.213798586912292,5.8806211882112,6.638993988484244,5.9905688898628835,6.470891559106844,2001 Q3,6.867735866666667,5.66886876816568,1.2,0.6626929487609345
NAIRU[17],6.1990698737779475,6.179155094727049,5.857979607396825,6.6085500338259084,5.946853146675548,6.433959726047246,2001 Q4,6.979442833333333,2.8755974987303645,1.4,0.7894777847007539
NAIRU[18],6.161394578980702,6.137278844963715,5.837290747549672,6.534317521599374,5.929613071793766,6.405693782988679,2002 Q1,6.627517566666667,1.9355442952956103,0.6,0.7832938221187469
NAIRU[19],6.102739579768265,6.10892354692378,5.792807441298831,6.447852314438619,5.87734810143382,6.317267488272279,2002 Q2,6.404687733333334,-4.324132417319415,1.7,0.7772059847702906
NAIRU[20],6.058995330301597,6.048974974150862,5.713678295880934,6.425095891467049,5.869426983510385,6.281716919095452,2002 Q3,6.280429799999999,-2.753210339020118,0.8,0.8991711191963958
NAIRU[21],5.9943693421204465,5.995410570685162,5.640774771411753,6.347101154161196,5.804580730342575,6.2096025441128315,2002 Q4,6.157770366666666,-4.345011692652445,0.1,0.8911580300563493
NAIRU[22],5.936491689776474,5.926583340610932,5.614760197735426,6.293293474979433,5.7284170683642985,6.154181489961558,2003 Q1,6.056242833333333,-4.659608729443221,0.5,1.0088357944340487
NAIRU[23],5.865839053192318,5.870080270657125,5.540701026677108,6.216590530841835,5.666924243204544,6.06799277827946,2003 Q2,6.051170166666667,-5.552309049921789,1.4,0.7500035156546403
NAIRU[24],5.804951444134195,5.801211855592638,5.48927158505694,6.17147265368608,5.578460135392718,6.031664378900632,2003 Q3,5.907152566666666,-8.031641781620547,1.3,0.8679533719723409
NAIRU[25],5.737454507123978,5.711423676920694,5.415624852573827,6.104268138150315,5.534166373023725,5.938455307357537,2003 Q4,5.708900633333333,-10.389959501815138,1.9,0.9828088936262525
NAIRU[26],5.667602201635715,5.6491341398423325,5.352482640336544,6.048367946595862,5.459976115987706,5.895073114255777,2004 Q1,5.537337766666667,-11.98772772594987,0.9,0.8521049731933239
NAIRU[27],5.607163084889899,5.587066963513084,5.280983356906299,5.981509233359505,5.3986886852488425,5.820759267062462,2004 Q2,5.4357763666666665,-6.52308022313326,0.9,0.8449054486527885
NAIRU[28],5.539425930510111,5.544763656981107,5.236902359874216,5.818254696244011,5.324705843279759,5.74559013984045,2004 Q3,5.4794814333333335,-2.613938820303563,1.9,0.8378265645998084
NAIRU[29],5.492877509563547,5.502954353300536,5.178544520160571,5.844710150528583,5.268009767503482,5.714443954507216,2004 Q4,5.117517433333333,-2.0277192439150937,0.5,1.0669929324696348
NAIRU[30],5.440272624715569,5.435077696250794,5.113264824295771,5.781901555231678,5.238825928847772,5.655058947242317,2005 Q1,5.1067477666666665,-0.5676458004804985,0.1,1.0557282805876866
NAIRU[31],5.394933493984238,5.398740053192982,5.043511549514627,5.778021105374746,5.172883339974852,5.601532159847471,2005 Q2,5.057159833333333,-2.6194201090823377,0,1.0446989964655096
NAIRU[32],5.3506869765358704,5.329706527125873,5.018228380574399,5.74194713284246,5.1289915578439125,5.570296257995044,2005 Q3,4.958571233333333,-2.6841037524811817,2.5,0.9195467093100262
NAIRU[33],5.297103087743754,5.284131743450543,4.967550463800241,5.654517424626869,5.091100519568009,5.520911022389077,2005 Q4,5.007907066666666,-1.0294896726862568,1.4,1.0244824948425268
NAIRU[34],5.241802489603404,5.242636914829637,4.938469983772068,5.5409670136508105,5.053049449327591,5.449297686499472,2006 Q1,5.0442255,1.1320875624481808,1.3,1.014093197604904
NAIRU[35],5.220577742673959,5.21391971995029,4.918152346596915,5.5609782303061746,5.048610383125007,5.395738021014234,2006 Q2,4.857340366666667,1.2246973609973288,0,1.0039125028328044
NAIRU[36],5.197524330493579,5.190867996119763,4.913325083560595,5.5177881205961725,5.001796562521831,5.386118031343294,2006 Q3,4.678337366666667,-0.7532992307544895,1.1,0.7739120992956039
NAIRU[37],5.184112535296694,5.187242629589414,4.870155779852752,5.536707119772309,4.969557519586564,5.389197524630862,2006 Q4,4.515442166666666,-1.5166167471410752,3.2,1.0953012019196962
NAIRU[38],5.1420712176336085,5.144849361508287,4.8346367703033915,5.479826368661634,4.936095355436466,5.355377462705405,2007 Q1,4.549208433333333,-2.2771382412477337,1.1,0.9756174945364293
NAIRU[39],5.102840012118328,5.102110330835542,4.767025438528836,5.438048744605036,4.879647074003648,5.30464767030214,2007 Q2,4.3249155,-4.011999378942566,2,1.1796383440369596
NAIRU[40],5.063711625875326,5.071688621975051,4.7354282316531915,5.396599324352162,4.8418658430721315,5.2571101364277295,2007 Q3,4.2552008,-4.050698427981736,1.2,0.9549144179853641
NAIRU[41],5.026871871155064,5.022921383274691,4.688740828879958,5.363135504702648,4.811141391645883,5.229726621478256,2007 Q4,4.353778800000001,-4.293342290860114,0.3,0.9458819865323598
NAIRU[42],4.97608262906659,4.9823393587475735,4.657162570620731,5.323386598287065,4.788560120853821,5.198839635302537,2008 Q1,4.086193266666666,-2.8225718064629035,0.7,0.9370188287584291
NAIRU[43],4.9271343198587045,4.927882668890305,4.608727986444166,5.244445140496977,4.742513067827531,5.117152420311533,2008 Q2,4.258538833333334,-2.366974408590483,1.8,1.23585507037971
NAIRU[44],4.889427195675406,4.896114771863784,4.558364434413558,5.200818353233924,4.69835430363977,5.090838389655584,2008 Q3,4.184966,0.5888142625222414,0.5,1.0183387390698684
NAIRU[45],4.857016855867112,4.863482754511777,4.514145513599817,5.199831171670287,4.679318018589348,5.045740974638325,2008 Q4,4.4409927,15.997331929834147,0.8,1.008073052835634
NAIRU[46],4.833526545898199,4.837357233194177,4.525214896924447,5.169860603278854,4.643340282969717,5.0223456346257365,2009 Q1,5.307327666666667,17.60498742460772,-0.5,0.8986580697846414
NAIRU[47],4.826291625953037,4.839387982422112,4.396886653131682,5.182862871280892,4.644758669441784,5.0435867380491,2009 Q2,5.729008633333334,12.903025974373161,0.6,0.7920833491444235
NAIRU[48],4.81121441763477,4.820161054379832,4.378509326444101,5.175885304026599,4.6280857430764755,5.052678682696247,2009 Q3,5.683172,6.166011635755986,2.1,0.39370129593390146
NAIRU[49],4.793008116364158,4.804200347948443,4.371762667375743,5.125931081091473,4.614155297911042,5.0378375190382,2009 Q4,5.557793433333334,-12.760168444084918,0.5,0.782782862024689
NAIRU[50],4.793910591008546,4.810279713397845,4.35324780392882,5.135037394271533,4.589788430247533,5.029168781142737,2010 Q1,5.3289693,-14.112877009846336,0.5,0.9699397088713368
NAIRU[51],4.7706556783322025,4.7935232674492765,4.330937489505928,5.102263046501478,4.590685078505854,4.972120395592603,2010 Q2,5.2909056,-7.654007712233479,2.2,0.7692345623156349
NAIRU[52],4.741316829245658,4.749167274954326,4.349568066191735,5.055995099158332,4.540741084392094,4.9469231831459,2010 Q3,5.124874733333333,-3.0829158019901826,2.1,1.048127746758265
NAIRU[53],4.691108688339191,4.692369015636126,4.334904356538398,4.972330008358855,4.506158392364959,4.887860457733607,2010 Q4,5.090280466666666,-2.3438572972017013,1.4,1.037255881562249
NAIRU[54],4.6689632834539,4.681934189174252,4.260581619799542,4.965053509115723,4.459711686753106,4.888614646841733,2011 Q1,4.967229333333333,-4.185525773661247,-0.1,0.9337135995940216
NAIRU[55],4.649284499062889,4.675517201583565,4.267306110583953,4.959321457886882,4.4215735082537835,4.860659017397581,2011 Q2,4.963175633333333,-5.84962066816086,2.3,0.740744127786197
NAIRU[56],4.633768865960603,4.651931161685222,4.269699111717639,4.957891939882787,4.397033549579247,4.849344810659855,2011 Q3,5.194853766666666,-5.760499194271507,1.4,0.9182800982334705
NAIRU[57],4.617199655914125,4.6393787801832875,4.26190888992185,4.947911560634521,4.396251520197538,4.81763538948929,2011 Q4,5.2052508,0,0.2,0.9099243855114736
NAIRU[58],4.585661838546202,4.603152085431924,4.236075792260111,4.919914405256075,4.365996045080175,4.800610145307466,2012 Q1,5.140915199999999,-2.2111453607431386,1.2,0.9914457057178083
