variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST,DLWPI_EST
NAIRU[1],5.741979769119933,5.776430789157931,5.186878253820988,6.0962170566124785,5.4610943399201854,6.019327255615005,1997 Q4,7.977187499999999,6.3871470386661855,-0.32936986563028015,0.5,0.8968669982760247
NAIRU[2],5.759036297054376,5.810044617254273,5.045169582077589,6.1673821252920895,5.479703784855704,6.066214808282001,1998 Q1,7.840956133333333,8.205906323515144,0.39627248451481467,0,0.8888947417245774
NAIRU[3],5.8055046748579535,5.876597806360715,5.04886074729486,6.253773971851554,5.437802303011601,6.167533135263776,1998 Q2,7.733828733333333,10.244080555449209,0.4713425082337741,0.4,0.7347571630394789
NAIRU[4],5.864744155883553,5.9410731180991725,5.029485726663156,6.348335657721999,5.443188773638015,6.244692370830026,1998 Q3,7.7882881,11.102625319350423,1.1498984420212688,3.1,0.729397836255341
NAIRU[5],5.888173958929382,6.002573787718482,5.003489262451682,6.433386963801365,5.3426633028888215,6.294944747101943,1998 Q4,7.3748021,6.51638942498538,-0.9077055783360155,0.2,0.7241161256559714
NAIRU[6],5.908115636135629,6.053068611533272,4.866715707109819,6.46795036426584,5.302168327177422,6.3430853069549595,1999 Q1,7.082459,3.2587647998844282,0.09455380317711093,0.3,0.862074304390692
NAIRU[7],5.923009469554817,6.10227848837866,4.844519383369467,6.438390668996158,5.27900381253097,6.375641031307616,1999 Q2,6.886110866666667,-1.1469027348764982,1.2125120189788507,1.5,0.712761392423289
NAIRU[8],5.942313433841146,6.139618873837543,4.714926132181721,6.530152155973188,5.277003519198758,6.400672180100019,1999 Q3,6.874404833333333,-5.666003356549165,-0.7518715056077152,0,0.7077170374084396
NAIRU[9],6.000681801825812,6.202811328321286,4.71808491844075,6.6078243331754045,5.216005761471826,6.498590045056195,1999 Q4,6.6339581333333335,-3.9118416595471217,1.082920328052439,0.9,0.7027435807457572
NAIRU[10],5.988444036654009,6.259062840336679,4.4824491543162175,6.683428022220835,5.065693382178292,6.5457309876680725,2000 Q1,6.650502033333333,-2.0131970951924316,1.2756539266030043,1.4,0.5586606708638975
NAIRU[11],6.006899240854999,6.316020835988071,4.52112927012174,6.792639755110309,4.86849287483585,6.616631037512876,2000 Q2,6.3020701,4.170891253848286,0.20956498186845973,-0.6,0.9702085806450711
NAIRU[12],5.997333460402776,6.370916309310247,4.358805605171189,6.777267054722771,4.733915741056676,6.657006103359754,2000 Q3,5.989740533333333,5.919918008416758,1.6099331190101207,1.6,0.82418048951034
NAIRU[13],5.971529285012823,6.396806788992916,4.146256379659753,6.81591260249373,4.577264115492206,6.649692513293156,2000 Q4,6.172109266666666,8.981477240732882,1.7067092556067198,3.1,0.9530364850694362
NAIRU[14],5.93801796109936,6.361085232077051,4.076600204789708,6.791727134747724,4.48578181772719,6.6122985256537365,2001 Q1,6.366243933333333,8.228463259096674,0.8748952221238282,1.9,0.944039377908723
NAIRU[15],5.927313003921592,6.326853006115643,4.122569184111501,6.745142710987103,4.476215418780158,6.612669394200417,2001 Q2,6.869537533333333,8.246203732647572,0.4943078310464255,0.5,0.9352105570280322
NAIRU[16],5.878227532921115,6.2931518308995855,4.023707809644221,6.659887184043153,4.462092304502976,6.541400539101328,2001 Q3,6.867782666666667,5.66886876816568,-0.05041463721384698,1.3,0.6626929487609345
NAIRU[17],5.858591845298964,6.248091491581415,4.023829386014879,6.637929484783199,4.5340929554222935,6.527285408099889,2001 Q4,6.979481766666667,2.8755974987303645,-0.048602266831676566,1.4,0.7894777847007539
NAIRU[18],5.8135362360468426,6.224629117224261,3.9572550071502537,6.598729530189395,4.492148315140607,6.501541025692091,2002 Q1,6.6275595,1.9355442952956103,0.4681272685548965,0.6,0.7832938221187469
NAIRU[19],5.757959486817893,6.142452496555799,3.9863652596625307,6.544299778436894,4.369668957710855,6.438857888799905,2002 Q2,6.404725666666667,-4.324132417319415,-0.1536349308730145,1.7,0.7772059847702906
