variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[1],5.8260292137965495,5.831768523527222,5.547909126597608,6.084912031264867,5.641991721468629,5.99373961370626,1997 Q4,7.977149166666666,6.3871470386661855,-0.3431715515760825,0.8968669982760247
NAIRU[2],5.885222546895084,5.897643414500195,5.604768356536158,6.144597560420537,5.705909699906102,6.058971632353447,1998 Q1,7.840619066666666,8.205906323515144,0.40267099057189615,0.8888947417245774
NAIRU[3],5.94871932026866,5.95823095654084,5.627501895270692,6.275994662480171,5.723023411424673,6.161331019671958,1998 Q2,7.733836233333332,10.244080555449209,0.4764555945192539,0.7347571630394789
NAIRU[4],6.011049658185867,6.018734684525126,5.648576111783902,6.356699602392417,5.805030273689569,6.214067174463361,1998 Q3,7.788195833333333,11.102625319350423,1.1487723224013369,0.729397836255341
NAIRU[5],6.056156208736415,6.069334025710731,5.721130913879622,6.40200203302099,5.8547057166969445,6.253267926355431,1998 Q4,7.374739299999999,6.51638942498538,-0.9142552438001106,0.7241161256559714
NAIRU[6],6.102533254567315,6.08390849130838,5.7766625351120355,6.464530336743562,5.908813174806178,6.332797832160612,1999 Q1,7.0825523666666665,3.2587647998844282,0.09506024423613368,0.862074304390692
NAIRU[7],6.142955566651249,6.135535361828138,5.8048029966140335,6.494216117218117,5.920360035028884,6.370155913350079,1999 Q2,6.886091666666666,-1.1469027348764982,1.221535127532647,0.712761392423289
NAIRU[8],6.195870477481583,6.1909953402901134,5.829105703394616,6.517704597470817,5.99692086583847,6.411213034053593,1999 Q3,6.8743435,-5.666003356549165,-0.7579206026584684,0.7077170374084396
NAIRU[9],6.260392712285885,6.249595360221673,5.868680768547302,6.6075711302725395,6.066200966537687,6.492148352146049,1999 Q4,6.6338722,-3.9118416595471217,1.0769684147841074,0.7027435807457572
NAIRU[10],6.317602718518074,6.321009131703317,5.932812341142846,6.670050926398032,6.092601443280593,6.55536550141802,2000 Q1,6.6509263,-2.0131970951924316,1.2791092911872415,0.5586606708638975
NAIRU[11],6.37316134545508,6.353945755590967,6.037030081360256,6.747773919159885,6.135293137718221,6.602294863029416,2000 Q2,6.3020431666666665,4.170891253848286,0.22199009694079397,0.9702085806450711
NAIRU[12],6.406117118519135,6.404668311678549,6.080266808406885,6.777083894710723,6.160655253927583,6.631053318451655,2000 Q3,5.989691033333333,5.919918008416758,1.6006092804463634,0.82418048951034
