variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[1],5.724840661406691,5.718455577382836,5.323046372883235,6.108705314895809,5.486827790828584,5.968420118349536,1997 Q4,7.976889866666666,6.3871470386661855,-0.3431715515760825
NAIRU[2],5.831547159563481,5.819851767026563,5.393531479459989,6.309603853063683,5.584724932134506,6.1180845293718615,1998 Q1,7.840336933333333,8.205906323515144,0.40267099057189615
NAIRU[3],5.945462098747442,5.938264774552557,5.444527411279332,6.443882695960179,5.646471631846753,6.274978161462112,1998 Q2,7.7336222333333335,10.244080555449209,0.4764555945192539
NAIRU[4],6.0347270165573335,6.023702655530243,5.529146845596502,6.599942227047515,5.7079090855200665,6.350474493617683,1998 Q3,7.7878287,11.102625319350423,1.1487723224013369
NAIRU[5],6.114814282578984,6.092350642008514,5.591611098155786,6.652911222384444,5.80570833627898,6.456242247137397,1998 Q4,7.374538133333333,6.51638942498538,-0.9142552438001106
NAIRU[6],6.19272137534144,6.170561698147315,5.663308295135624,6.725471144235325,5.889661335656729,6.547038948950884,1999 Q1,7.0822855,3.2587647998844282,0.09506024423613368
NAIRU[7],6.258468112617075,6.260975846687543,5.725859403717523,6.830962685955242,5.890621531499868,6.609120100419519,1999 Q2,6.8858828,-1.1469027348764982,1.221535127532647
NAIRU[8],6.33124227082945,6.294299593188175,5.861735950193066,6.988786384030786,6.015429300463267,6.6915761577532145,1999 Q3,6.874058633333333,-5.666003356549165,-0.7579206026584684
NAIRU[9],6.3913320084366525,6.33327014127698,5.834702570682668,7.069084812783069,6.028251846051074,6.761302034604509,1999 Q4,6.6336383,-3.9118416595471217,1.0769684147841074
NAIRU[10],6.4821077739986555,6.435999001067136,5.915984508571465,7.1304492926699865,6.141555474963196,6.882337853372266,2000 Q1,6.650677533333333,-2.0131970951924316,1.2791092911872415
NAIRU[11],6.537876259661917,6.4930824277879395,5.987556733054683,7.123870044414223,6.208176028847028,6.898607921227765,2000 Q2,6.301838766666666,4.170891253848286,0.22199009694079397
NAIRU[12],6.580824076722545,6.594503166888979,6.022749485547282,7.196741600591122,6.236534541394867,6.912559228002014,2000 Q3,5.9894548,5.919918008416758,1.6006092804463634
NAIRU[13],6.600828942344505,6.594808281241101,6.01876502977283,7.1836594430919964,6.259099063899595,6.935599273241933,2000 Q4,6.171808733333333,8.981477240732882,1.696677778950595
NAIRU[14],6.61572540051531,6.593127541639118,6.05831472843237,7.253515838831515,6.2761319233512465,6.963965504313451,2001 Q1,6.366911866666666,8.228463259096674,0.8780408499072356
NAIRU[15],6.593420033583622,6.570166233456632,6.000946916582883,7.260716549131912,6.213865241011937,7.018076483104766,2001 Q2,6.8692716,8.246203732647572,0.5173479262792213
NAIRU[16],6.521914605401501,6.522271278562222,5.943341220329142,7.180314676719671,6.1196755648748,6.870508665201511,2001 Q3,6.867474566666667,5.66886876816568,-0.06864248775311221
NAIRU[17],6.457549103463162,6.4636981759683,5.8944571841007,7.066994441845819,6.086195767257934,6.783295566082014,2001 Q4,6.9792518,2.8755974987303645,-0.05343376428146307
NAIRU[18],6.353206303071834,6.358366622195837,5.785371785873857,6.952081385886947,5.972313183222635,6.67935824939917,2002 Q1,6.626553033333333,1.9355442952956103,0.47007120112489975
NAIRU[19],6.256193163239593,6.241866139755562,5.743929215314519,6.895897662560889,5.871076609811651,6.658647592259447,2002 Q2,6.404464933333333,-4.324132417319415,-0.136413350834097
NAIRU[20],6.155886575874232,6.123050763067754,5.608437317828394,6.809587106851736,5.769240545052615,6.5762653236055515,2002 Q3,6.280207333333333,-2.753210339020118,1.5154858892433731
NAIRU[21],6.063691401875512,6.067203304424003,5.475923248002755,6.7121818493367265,5.675743797997376,6.448479799542206,2002 Q4,6.157576933333333,-4.345011692652445,-0.008033845420829522
NAIRU[22],5.971484388675084,5.9807079504277105,5.36019906688321,6.58234833651227,5.605670874394888,6.281136283126605,2003 Q1,6.055637866666666,-4.659608729443221,1.5417337648650609
NAIRU[23],5.8452734069572925,5.832801208750576,5.337381272003456,6.412175789861603,5.531884180129243,6.117013358325055,2003 Q2,6.0509699333333336,-5.552309049921789,1.5545877755401616
NAIRU[24],5.726014857413987,5.714907812078085,5.206352354805146,6.294372882962108,5.374167631677686,5.992567227839062,2003 Q3,5.906949233333333,-8.031641781620547,-0.5915692490312319
NAIRU[25],5.651836763097858,5.636646243112038,5.145694659624466,6.184199274872858,5.316012523626869,5.997712598278569,2003 Q4,5.708745633333334,-10.389959501815138,0.09234868097014459
NAIRU[26],5.572533433616106,5.545278125937358,5.105493320709932,6.1062988784505,5.220163232120153,5.892252512811068,2004 Q1,5.5370039,-11.98772772594987,1.372697846812354
NAIRU[27],5.4927972963804175,5.489511580685317,5.05467776952722,6.015023531956848,5.2155855693407736,5.797242209831909,2004 Q2,5.435606533333333,-6.52308022313326,0.7524544870042504
NAIRU[28],5.4275758532173395,5.413027068977351,4.951474400109817,5.896955424112951,5.099262003664615,5.760988350582232,2004 Q3,5.479305166666667,-2.613938820303563,1.478321176263253
NAIRU[29],5.380879088337089,5.371256328702668,4.935669474626096,5.9462258514094275,5.0686909906693565,5.689607970317503,2004 Q4,5.1174137,-2.0277192439150937,1.3455660850897333
NAIRU[30],5.302072556103573,5.2751373242710855,4.770416402970911,5.855056282411316,5.01399511113777,5.629948983992427,2005 Q1,5.1068706,-0.5676458004804985,0.8776221927317307
NAIRU[31],5.250767619270418,5.2374183046292275,4.691377782641583,5.769263207996354,4.901801249168729,5.630956504583301,2005 Q2,5.0570087,-2.6194201090823377,0.7521723333481445
NAIRU[32],5.2121602700188605,5.205727503479039,4.591789359487143,5.779333405201495,4.920047333688177,5.5596378984102905,2005 Q3,4.9584329333333335,-2.6841037524811817,1.1538038228051883
NAIRU[33],5.207455356726549,5.207935325782962,4.647473131725286,5.755094364133755,4.85838997674845,5.528580423371382,2005 Q4,5.007769766666667,-1.0294896726862568,0.5391245840280723
NAIRU[34],5.235615856359259,5.243335864407417,4.661002588642075,5.758903378566862,4.893109202961899,5.561585218674048,2006 Q1,5.0445391,1.1320875624481808,1.8720056352304892
NAIRU[35],5.240085736141198,5.236799634687754,4.74055348816978,5.758724150255642,4.91280869823203,5.562889921041636,2006 Q2,4.8571941,1.2246973609973288,1.253496809367638
NAIRU[36],5.28087809955644,5.271198153901572,4.652172906838494,5.78451300365379,4.9481837462047915,5.608612900734753,2006 Q3,4.678232,-0.7532992307544895,0.3087006073639875
NAIRU[37],5.3584081356467514,5.344020341485595,4.8131963255851735,5.920538138944616,5.04140601600086,5.707542261030506,2006 Q4,4.5153792,-1.5166167471410752,2.189700930075511
NAIRU[38],5.395049211688951,5.391943277486848,4.884979228324314,5.955595475119774,5.038829122329727,5.75580905085226,2007 Q1,4.549656733333333,-2.2771382412477337,1.0449419558533624
NAIRU[39],5.434973757549358,5.419932263285421,4.937319511028483,6.009487645805217,5.0792462598148775,5.789213498083228,2007 Q2,4.3247894,-4.011999378942566,1.9299695781254345
NAIRU[40],5.410739123661278,5.402394959118149,4.9158507570613725,6.028367051851264,5.075889997976598,5.724387856119633,2007 Q3,4.255140833333334,-4.050698427981736,0.5872268835595218
NAIRU[41],5.353526768452545,5.326268352637507,4.892652335396366,5.886256166203183,5.0134296118154005,5.686593562695194,2007 Q4,4.3537422,-4.293342290860114,1.1633887059395054
NAIRU[42],5.296697925026429,5.259079160064946,4.817198883820634,5.8788004370667055,4.933715551721422,5.620543475728515,2008 Q1,4.085496466666667,-2.8225718064629035,0.9111607640747366
NAIRU[43],5.240789586939783,5.219288339276842,4.737254112576371,5.776269677866352,4.912953730613805,5.553828909852679,2008 Q2,4.258429,-2.366974408590483,2.250217180787595
NAIRU[44],5.131109182884843,5.096300570733197,4.6578085797648345,5.688156866138162,4.847628848805301,5.419895008345785,2008 Q3,4.1849199666666665,0.5888142625222414,-0.11182944603500555
NAIRU[45],4.9755522306581685,4.969937352852675,4.4470524888292395,5.567373396315603,4.672466792003078,5.2808357456652235,2008 Q4,4.440969066666667,15.997331929834147,0.7196518510153016
NAIRU[46],4.916262783084313,4.9108017246609945,4.406208491859725,5.521101479544905,4.587586794503024,5.270644506799313,2009 Q1,5.3070469000000005,17.60498742460772,-1.3785434155470622
