variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST
NAIRU[1],5.771874338505989,5.762365023150577,5.454975392583965,6.092884894432628,5.580036118569151,5.977395523339789,1997 Q4,7.977119766666666,6.3871470386661855,-0.3434835236608258,0.5
NAIRU[2],5.814448037569219,5.801081311087005,5.485017732848021,6.153884313333544,5.59639033002876,6.030615891478017,1998 Q1,7.8408902,8.205906323515144,0.4032930445027283,0
NAIRU[3],5.853581200223352,5.83094066994915,5.518169855920981,6.2211810996161905,5.641630435393224,6.1088634790892,1998 Q2,7.733810499999999,10.244080555449209,0.47583864324765024,0.4
NAIRU[4],5.9003420966366456,5.868182262224709,5.559224477653,6.2713860884722745,5.69510405484293,6.15000754672636,1998 Q3,7.788204799999999,11.102625319350423,1.148777933016909,3.1
NAIRU[5],5.93927256952354,5.928746055305798,5.616411734376685,6.2847037776615275,5.730474549245921,6.160451370508938,1998 Q4,7.374733733333334,6.51638942498538,-0.9139539849901679,0.2
NAIRU[6],5.985814298972481,5.9731793476858845,5.6878958514825975,6.297398877513421,5.797227542709676,6.208504478570042,1999 Q1,7.0824117,3.2587647998844282,0.09506024423613368,0.3
NAIRU[7],6.021660129462026,6.010766877579513,5.696006967352667,6.336507437977754,5.814631317197367,6.255420058297921,1999 Q2,6.8860819,-1.1469027348764982,1.221535127532647,1.6
NAIRU[8],6.05040006844273,6.050650367391721,5.7223346670282504,6.379026278304259,5.84372372678221,6.242238900212177,1999 Q3,6.8743433000000005,-5.666003356549165,-0.7579206026584684,0
NAIRU[9],6.100294339909927,6.114290763846314,5.742364801600896,6.448665836642401,5.885053047007836,6.301022671866297,1999 Q4,6.633913133333333,-3.9118416595471217,1.0769684147841074,0.9
NAIRU[10],6.134951526788202,6.145654735366971,5.745966195049756,6.457183013383591,5.926706841482959,6.336914404573405,2000 Q1,6.650460766666667,-2.0131970951924316,1.2791092911872415,1.4
NAIRU[11],6.1684684831748156,6.183612929763005,5.750108413933227,6.483899528379474,5.970021210476652,6.383914604557461,2000 Q2,6.302037400000001,4.170891253848286,0.22199009694079397,-0.6
NAIRU[12],6.1805189661081945,6.171610757903512,5.763647964858705,6.504944071687775,5.969305569857401,6.393223149871966,2000 Q3,5.9896934,5.919918008416758,1.6006092804463634,1.6
NAIRU[13],6.177524621672156,6.201385310815771,5.791480207610012,6.501297418767878,5.965661052170249,6.3799933117704235,2000 Q4,6.172072533333333,8.981477240732882,1.696677778950595,3.1
NAIRU[14],6.161016543880608,6.172742934946129,5.781292030644423,6.480696866056953,5.942510491921078,6.369518449258276,2001 Q1,6.3662098333333335,8.228463259096674,0.8780408499072356,1.9
NAIRU[15],6.129182527175707,6.155482660940882,5.749847196226094,6.45183523838926,5.8872748722213295,6.3499706034483046,2001 Q2,6.8694991666666665,8.246203732647572,0.5173479262792213,0.5
NAIRU[16],6.08808973594183,6.103104411414725,5.694994393517079,6.454047142702656,5.844129426062551,6.3008514738669525,2001 Q3,6.8677302,5.66886876816568,-0.06864248775311221,1.2
NAIRU[17],6.039176447241321,6.048963951264547,5.629122284422344,6.388214279068948,5.815105099609934,6.27244302886427,2001 Q4,6.9794274666666665,2.8755974987303645,-0.05343376428146307,1.4
NAIRU[18],5.997225822138995,5.99684529598123,5.5916211945877805,6.336838453048336,5.764249552930618,6.230518639441678,2002 Q1,6.627513833333333,1.9355442952956103,0.4698029345161725,0.6
NAIRU[19],5.946435202728972,5.946105739318265,5.581044597909342,6.300358482405396,5.717270310754707,6.169402917239463,2002 Q2,6.404685933333333,-4.324132417319415,-0.13614508422536975,1.7
NAIRU[20],5.897869838800169,5.907070207961606,5.553670658230928,6.240597694558809,5.670039472837196,6.143542477607209,2002 Q3,6.2804266,-2.753210339020118,1.5154858892433731,0.8
NAIRU[21],5.843901983205268,5.859403379331688,5.484091132570934,6.189246271883728,5.629720232495253,6.054277498386601,2002 Q4,6.1577823333333335,-4.345011692652445,-0.008033845420829522,0.1
NAIRU[22],5.7946987835963,5.7791843349055085,5.4662110230795475,6.169370171612189,5.555626790041615,6.0288073616706,2003 Q1,6.0562416,-4.659608729443221,1.5417337648650609,0.5
