date_qtr,expectations,import_price,unemp_gap,momentum,dummies,ulc_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
1997 Q4,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
1998 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1998 Q3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
1998 Q4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
1999 Q1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1999 Q2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1999 Q3,0.7001293604047312,0.04667258083939808,-0.17452131320422276,0.0029436007023124398,0,0.06448271129336813,0.639706940035587,0.8,0.160293059964413,-0.03970694003558706,0.06029305996441292,-0.03970694003558706,-0.13970694003558703
1999 Q4,0.725707616288826,0.02525787248335542,-0.13909646294750072,1.8237714550086963e-4,0,0.01114199907853846,0.6231934020487199,0.6,-0.02319340204871989,0.07680659795128009,-0.02319340204871989,-0.12319340204871987,-0.02319340204871989
2000 Q1,0.7165039119881735,0.02090335410056524,-0.12384592032932353,0.0037261566773330143,0,0.006182568462212913,0.6234700708989611,0.7,0.07652992910103884,-0.023470070898961137,-0.12347007089896112,-0.023470070898961137,0.3765299291010389
2000 Q2,0.6945445883776362,-0.04336610083601505,-0.08746547910766705,-2.7063178581953826e-4,0,0.03858887981464835,0.6020312564627829,0.6,-0.0020312564627829044,-0.10203125646278288,-0.0020312564627829044,0.3979687435372171,0.19796874353721716
2000 Q3,0.6884571868681026,-0.05785068575469284,-0.048661852849845345,0.00599551606388602,0,-0.030901611724055686,0.5570385526033947,0.5,-0.05703855260339474,0.042961447396605235,0.44296144739660526,0.2429614473966053,0.1429614473966052
2000 Q4,0.6863238039537525,-0.05118220943006809,-0.03772157903560642,0.005215861334030841,0,-0.013411521333872,0.5892243554882367,0.6,0.010775644511763272,0.4107756445117633,0.21077564451176334,0.11077564451176325,0.21077564451176334
2001 Q1,0.6568697162828536,-0.0148133167921499,-0.021976278315166575,-0.0029526916027153207,0,-0.00806249357146227,0.6090649360013596,1,0.3909350639986404,0.19093506399864046,0.09093506399864038,0.19093506399864046,0.19093506399864046
2001 Q2,0.661058295303175,0.008517279848731147,-0.05141145404831529,-0.0029127807819311255,0,-0.05494613833590602,0.5603052019857537,0.8,0.2396947980142463,0.13969479801424622,0.2396947980142463,0.2396947980142463,0.039694798014246246
2001 Q3,0.6685642289075905,0.01541234909738827,-0.07887458191517804,-0.007553154895291918,0,-0.024246366259057024,0.5733024749354517,0.7,0.12669752506454823,0.22669752506454832,0.22669752506454832,0.026697525064548255,0.12669752506454823
2001 Q4,0.663359221378338,0.02353572857105466,-0.11999461094497824,2.612304157400987e-5,0,0.0169795176786825,0.5839059797246711,0.8,0.21609402027532898,0.21609402027532898,0.016094020275328913,0.11609402027532889,0.11609402027532889
2002 Q1,0.6766174701706614,0.025288604134473956,-0.12686344365385904,-0.0017370638935951996,0,0.033502258799094596,0.6068078255567758,0.8,0.19319217444322423,-0.006807825556775837,0.09319217444322414,0.09319217444322414,0.19319217444322423
2002 Q2,0.6852515277245502,0.02900089744430046,-0.12199608235623088,0.0056632031943919,0,0.0430305074215587,0.6409500534285704,0.6,-0.04095005342857039,0.05904994657142959,0.05904994657142959,0.15904994657142968,-0.14095005342857037
2002 Q3,0.6872732151983586,0.008734556931993109,-0.10853654215137461,0.003656826145914145,0,0.03273971371438962,0.6238677698392808,0.7,0.07613223016071913,0.07613223016071913,0.17613223016071922,-0.12386776983928083,0.07613223016071913
2002 Q4,0.6960748159130602,0.038150940400396065,-0.0846425567200419,0.002079833534574749,0,0.010949602233358825,0.6626126353613478,0.7,0.03738736463865211,0.1373873646386522,-0.16261263536134785,0.03738736463865211,0.03738736463865211
2003 Q1,0.7021510478785395,-0.013167440431065436,-0.07055711155499891,0.0020872186618718213,0,0.0165747589279934,0.6370884734823404,0.8,0.1629115265176596,-0.13708847348234043,0.06291152651765952,0.06291152651765952,0.06291152651765952
2003 Q2,0.6887252559254032,-0.02175375855508692,-0.06673044612446674,0.001729516882206242,0,-0.0263803063337996,0.5755902617942562,0.5,-0.07559026179425621,0.12440973820574375,0.12440973820574375,0.12440973820574375,0.02440973820574377
2003 Q3,0.6857653267510428,0.014711891681561411,-0.055620740847546576,8.848293684521657e-5,0,0.004255509278740412,0.6492004698006434,0.7,0.05079953019935657,0.05079953019935657,0.05079953019935657,-0.04920046980064341,-0.04920046980064341
2003 Q4,0.6906240784146156,0.004515552479252187,-0.04457530355049182,0.0026001350206684443,0,-0.036054772882124365,0.6171096894819201,0.7,0.08289031051807982,0.08289031051807982,-0.017109689481920154,-0.017109689481920154,0.1828903105180799
2004 Q1,0.6937962289260055,0.026442028819836406,-0.03152999200289119,0.0036897585857649795,0,0.015722822412053142,0.7081208467407687,0.7,-0.008120846740768739,-0.10812084674076872,-0.10812084674076872,0.09187915325923135,-0.10812084674076872
2004 Q2,0.7046530257466781,0.021139931787887534,-0.012632467746094712,0.00325329896742348,0,0.05619371287873083,0.7726075016346252,0.6,-0.17260750163462524,-0.17260750163462524,0.02739249836537483,-0.17260750163462524,-0.17260750163462524
2004 Q3,0.703122798211254,-0.010427991271873091,-0.0074608419406108325,0.001910345859223899,0,-0.005578975415752358,0.6815653354422416,0.6,-0.08156533544224165,0.11843466455775842,-0.08156533544224165,-0.08156533544224165,-0.08156533544224165
