model,date,variable,median,lowera,lowerb,uppera,upperb
"CPI with ULC, AENA & WPI model",2023 Q3,NAIRU[104],4.466457434576677,1.9980386876685547,2.564055658228081,4.807173207844329,4.6795458791814735
"CPI with ULC, AENA & WPI model",2023 Q4,NAIRU[105],4.472168673321275,2.060221788446193,2.6287344216197477,4.813996664033409,4.6897464912669715
"CPI with ULC, AENA & WPI model",2024 Q1,NAIRU[106],4.458293972316973,2.126398899463575,2.70116365709814,4.801294730521839,4.676162543296879
"CPI with ULC, AENA & WPI model",2024 Q2,NAIRU[107],4.473435075222719,2.1844662818992133,2.76545821542945,4.8221266167816275,4.69307243083802
"CPI with ULC, AENA & WPI model",2024 Q3,NAIRU[108],4.50917349454083,2.25451890671743,2.846159438835759,4.861921192931602,4.734934667556516
"CPI with ULC, AENA & WPI model",2024 Q4,NAIRU[109],4.526006006167815,2.24021283536473,2.8529592604503025,4.890188041170633,4.758404647449924
"CPI with ULC, AENA & WPI model",2025 Q1,NAIRU[110],4.542060663451028,2.2171931092172517,2.8545638878382364,4.926136503884193,4.785462039521375
"CPI with ULC, AENA & WPI model",2025 Q2,NAIRU[111],4.543157342004415,2.2199928505857383,2.877369908174366,4.956366257118746,4.805630095130147
"CPI with ULC, AENA & WPI model",2025 Q3,NAIRU[112],4.551103640782857,2.189067022820604,2.9123737169999226,4.993868945683441,4.830513495210761
"CPI with ULC, AENA & WPI model",2025 Q4,NAIRU[113],4.553295393346337,2.171921160430978,2.945826358712775,5.025858662392978,4.854852534557812
