variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLWPI_EST
NAIRU[1],5.709606652466464,5.718732648187931,5.239754812344453,6.10173390596597,5.42526114643609,6.00935171094222,1997 Q4,7.977187499999999,6.3871470386661855,0.8968669982760247
NAIRU[2],5.744349113725731,5.799332202905022,5.113404230164637,6.210771215455277,5.396163102743076,6.079562525448497,1998 Q1,7.840956133333333,8.205906323515144,0.8888947417245774
NAIRU[3],5.785062631101245,5.878466075156153,4.994724149630352,6.292039356807741,5.317717561541868,6.126147127968928,1998 Q2,7.733828733333333,10.244080555449209,0.7347571630394789
NAIRU[4],5.829842545505538,5.937559761860271,4.943273350909996,6.381587724046129,5.295267673880233,6.22008372771137,1998 Q3,7.7882881,11.102625319350423,0.729397836255341
NAIRU[5],5.854868221826932,5.989769905754443,4.8513810306652685,6.4827980465961454,5.264941074897784,6.257391267187679,1998 Q4,7.3748021,6.51638942498538,0.7241161256559714
NAIRU[6],5.884301808887499,6.006583208764281,4.832684824898934,6.448891534559536,5.225336304405213,6.302427442050361,1999 Q1,7.082459,3.2587647998844282,0.862074304390692
NAIRU[7],5.896077530467213,6.051210686597763,4.816526599373695,6.475357948899098,5.181076680769797,6.35038603538055,1999 Q2,6.886110866666667,-1.1469027348764982,0.712761392423289
NAIRU[8],5.924214733425638,6.1236266921827545,4.755375947377197,6.50080641923044,5.198150452700341,6.362848569993988,1999 Q3,6.874404833333333,-5.666003356549165,0.7077170374084396
NAIRU[9],5.974591831200461,6.175767583501213,4.716066287363228,6.552823931682892,5.254701976765048,6.427978842495521,1999 Q4,6.6339581333333335,-3.9118416595471217,0.7027435807457572
NAIRU[10],5.992185969423827,6.238701910435271,4.660315824919047,6.64318803485256,5.185419819483659,6.5090652514773355,2000 Q1,6.650502033333333,-2.0131970951924316,0.5586606708638975
NAIRU[11],6.003972301626268,6.293345962520198,4.484325480490866,6.766220111163493,5.045030679764554,6.588552511332801,2000 Q2,6.3020701,4.170891253848286,0.9702085806450711
NAIRU[12],5.996754647583816,6.3192644207448225,4.3360412220057665,6.801734423100049,4.804106229994433,6.636149810851207,2000 Q3,5.989740533333333,5.919918008416758,0.82418048951034
NAIRU[13],5.963034957424059,6.336189668178133,4.096748264521287,6.824795153581681,4.660741143115693,6.667273284405776,2000 Q4,6.172109266666666,8.981477240732882,0.9530364850694362
NAIRU[14],5.941316461118022,6.3287112631639015,3.9893336728087507,6.8531107973346685,4.599305182573518,6.671479190413077,2001 Q1,6.366243933333333,8.228463259096674,0.944039377908723
NAIRU[15],5.93757177370775,6.313282020994778,3.986480357975408,6.894277516485548,4.583404699767495,6.686296724419451,2001 Q2,6.869537533333333,8.246203732647572,0.9352105570280322
NAIRU[16],5.895460728100316,6.273996513386514,3.9596309543089068,6.802795732863509,4.471588037080599,6.620722198140842,2001 Q3,6.867782666666667,5.66886876816568,0.6626929487609345
NAIRU[17],5.859425849713551,6.2379263322878735,3.8964875300792032,6.78118476861576,4.489969178583662,6.586784947715476,2001 Q4,6.979481766666667,2.8755974987303645,0.7894777847007539
NAIRU[18],5.799985212395406,6.163687430602613,3.8957873125648645,6.687154973080563,4.407434562648352,6.530715551416682,2002 Q1,6.6275595,1.9355442952956103,0.7832938221187469
NAIRU[19],5.729062201954335,6.124582552774093,3.726736088293323,6.625978432408738,4.278273625230374,6.46353773134637,2002 Q2,6.404725666666667,-4.324132417319415,0.7772059847702906
NAIRU[20],5.6739382297605205,6.071090767212318,3.659633173393404,6.571047638085289,4.205651097788299,6.422353824078448,2002 Q3,6.280471133333333,-2.753210339020118,0.8991711191963958
NAIRU[21],5.587763438152429,6.019250032909482,3.5126339347260234,6.489330256874893,4.0678249343884545,6.355520072549114,2002 Q4,6.157816866666667,-4.345011692652445,0.8911580300563493
NAIRU[22],5.544978612074091,5.970611974219317,3.5848822569573353,6.463849538726661,4.121339312828711,6.273585769108696,2003 Q1,6.056286166666666,-4.659608729443221,1.0088357944340487
NAIRU[23],5.473009523421501,5.9019377901783825,3.5351342573360376,6.32650864448649,3.9997717930916448,6.183945232681118,2003 Q2,6.051211533333333,-5.552309049921789,0.7500035156546403
NAIRU[24],5.394775903347802,5.848284658287673,3.4813103386832975,6.222495815570925,3.871554059429453,6.107752098350243,2003 Q3,5.9071963,-8.031641781620547,0.8679533719723409
NAIRU[25],5.321234210325004,5.7619100611575345,3.4345394883220886,6.157345768858125,3.8339029539289884,6.030004833028592,2003 Q4,5.708952,-10.389959501815138,0.9828088936262525
NAIRU[26],5.257947102377776,5.70019468781658,3.3250697534239935,6.104164016961922,3.775255220750789,5.944042318052329,2004 Q1,5.5373783,-11.98772772594987,0.8521049731933239
NAIRU[27],5.20084829156883,5.632420775809939,3.294305614341223,6.0189134920027225,3.7417472291071174,5.905044331228245,2004 Q2,5.435813933333333,-6.52308022313326,0.8449054486527885
NAIRU[28],5.1231734427841715,5.5643265595902935,3.110961578905557,5.998138609558168,3.68742327604998,5.838909764085013,2004 Q3,5.479516333333334,-2.613938820303563,0.8378265645998084
NAIRU[29],5.0523470747370025,5.490993566580224,2.9741960665671376,5.949102338927066,3.5590510385957868,5.796800388253955,2004 Q4,5.117552766666667,-2.0277192439150937,1.0669929324696348
NAIRU[30],4.996544466287824,5.427328097501053,2.897072254109921,5.915714930857542,3.446164777177786,5.7409064317142535,2005 Q1,5.106783733333334,-0.5676458004804985,1.0557282805876866
NAIRU[31],4.955485428104362,5.407915119007683,2.9169436874247143,5.850177679123701,3.3736028579496744,5.732486914839749,2005 Q2,5.0571962,-2.6194201090823377,1.0446989964655096
NAIRU[32],4.903303234744335,5.370118897299204,2.8135170237355562,5.799685161023537,3.3001609902704576,5.6474147217607795,2005 Q3,4.958602733333334,-2.6841037524811817,0.9195467093100262
NAIRU[33],4.824119375641896,5.3064072839556395,2.7583469158017975,5.719655185620087,3.1602655112264446,5.599885578794323,2005 Q4,5.007952566666667,-1.0294896726862568,0.9111680351256091
NAIRU[34],4.7763488275349575,5.234844289394902,2.6205838745429464,5.709799597679484,3.1558292659333977,5.549197453090661,2006 Q1,5.044254333333333,1.1320875624481808,1.1274076573218217
NAIRU[35],4.756821636825729,5.193487336891782,2.577472486034246,5.731439504130925,3.1711200949178497,5.536817393770965,2006 Q2,4.857371833333333,1.2246973609973288,1.0039125028328044
NAIRU[36],4.712215000092072,5.180029806389323,2.5064097768851505,5.69544867625233,3.125424175941263,5.507969299469637,2006 Q3,4.678365866666667,-0.7532992307544895,0.9939341902557963
NAIRU[37],4.707913698786747,5.182011081043419,2.406541616769217,5.723617414679853,3.080610038464585,5.491789244577155,2006 Q4,4.515483166666667,-1.5166167471410752,1.0929070532190721
NAIRU[38],4.653200578520247,5.14813059072775,2.369923304890623,5.660980473898338,2.9173398835493924,5.4734439100786565,2007 Q1,4.549238466666667,-2.2771382412477337,0.8658062743114314
NAIRU[39],4.571487114749039,5.095075350991639,2.1008879206719535,5.636852734769853,2.735874718482258,5.435781240236256,2007 Q2,4.3249484,-4.011999378942566,1.071821622002389
NAIRU[40],4.568640205589138,5.097227863271483,2.279738865913282,5.566776239439684,2.7280559318777766,5.428244723196289,2007 Q3,4.2552332999999996,-4.050698427981736,1.1658849603703558
NAIRU[41],4.509985365248907,5.0592495823735,2.1448695415042724,5.540230733613976,2.6728565382937957,5.36770603711222,2007 Q4,4.353817833333333,-4.293342290860114,0.7349114441473681
NAIRU[42],4.448050917892758,5.028533316431574,2.0664174853014527,5.456363336304278,2.5147737408627155,5.346895675577388,2008 Q1,4.086222633333334,-2.8225718064629035,1.0405921161116716
NAIRU[43],4.377297279198129,4.960182284377752,1.9071096888363508,5.442639474304077,2.4670690693347974,5.282671218572297,2008 Q2,4.258564,-2.366974408590483,1.1322817830264675
NAIRU[44],4.386424054306445,4.930886185494397,2.0265045556790686,5.432404023833124,2.617868656984617,5.241405017035223,2008 Q3,4.1850008333333335,0.5888142625222414,1.2207679579929298
NAIRU[45],4.370304588039459,4.850665525534475,2.2374408592461843,5.2993481036189705,2.8026457559349067,5.158268476087523,2008 Q4,4.441033366666667,15.997331929834147,0.8056438339125727
NAIRU[46],4.386185016317853,4.810752324876624,2.3547535792467227,5.296364626026401,2.9605705151393833,5.102858232986161,2009 Q1,5.3073573666666665,17.60498742460772,0.8986580697846414
NAIRU[47],4.451809469946988,4.798394799126012,2.679362767626304,5.289954745969341,3.211109274841825,5.093650070583409,2009 Q2,5.729036,12.903025974373161,0.7920833491444235
NAIRU[48],4.480442808835475,4.772802253281686,2.838786829164306,5.202146317896559,3.463592912573415,5.05223671082654,2009 Q3,5.683215466666667,6.166011635755986,0.39370129593390146
NAIRU[49],4.4889473290295205,4.756820952522393,2.90314034317393,5.226950051950834,3.542186958443576,5.037078765436762,2009 Q4,5.5578409,-12.760168444084918,0.782782862024689
NAIRU[50],4.546489069865556,4.778438713172389,3.2085463014576128,5.319752024016383,3.6509541639469507,5.062327718440743,2010 Q1,5.3289932,-14.112877009846336,0.9699397088713368
NAIRU[51],4.5405145347697236,4.751289480113508,3.20533758160913,5.227359379624937,3.7950643748191406,5.031994988391681,2010 Q2,5.290939833333333,-7.654007712233479,0.7692345623156349
NAIRU[52],4.514348196496958,4.703181793892227,3.0746577682340863,5.193643164540217,3.781685854040108,5.0362428203605605,2010 Q3,5.124916533333333,-3.0829158019901826,1.048127746758265
NAIRU[53],4.509732250349634,4.71152701245783,3.2239903132210053,5.124314190337966,3.7902957158277824,4.99773396455202,2010 Q4,5.090326233333333,-2.3438572972017013,1.037255881562249
NAIRU[54],4.5234929041567735,4.677995199824144,3.3595818864022076,5.1196653818021645,3.942893476350983,4.978997851697741,2011 Q1,4.9672569,-4.185525773661247,0.9337135995940216
NAIRU[55],4.568262627423482,4.677297092825139,3.5437365355563757,5.130896689394742,4.169324349453767,4.947708333127474,2011 Q2,4.9632171666666665,-5.84962066816086,0.740744127786197
NAIRU[56],4.5707846278213164,4.65866217941922,3.635782976099448,5.141859717068142,4.233907737220852,4.920497915688199,2011 Q3,5.194893633333333,-5.760499194271507,0.8268306176947071
NAIRU[57],4.577156227418679,4.646183385849971,3.6942686192542156,5.077812312621255,4.232631467253335,4.925909864787392,2011 Q4,5.2052778,0,1.001373866050237
NAIRU[58],4.594564032552181,4.651848170752429,3.762530650018083,5.087874088188567,4.2874788231909875,4.958880266947068,2012 Q1,5.1409404,-2.2111453607431386,0.9914457057178083
NAIRU[59],4.63429551913814,4.661062174938305,3.9604536199302016,5.116894244955557,4.344172186808095,4.973364372164458,2012 Q2,5.1192635,1.197619104671599,0.892863074430128
NAIRU[60],4.6570336566862265,4.69992824580298,4.040909843847553,5.078528450664126,4.389092540315656,4.971071654258662,2012 Q3,5.2759066,0,0.7085946389485898
NAIRU[61],4.689101089999368,4.7127269964151015,4.017179933158103,5.123461588672537,4.430896683206457,5.016806761635749,2012 Q4,5.366588366666667,-1.996074256253788,0.7912129187949368
NAIRU[62],4.696495753849296,4.7162196981594375,4.22671694320115,5.171473287400709,4.386715300611217,5.000288407023165,2013 Q1,5.474768766666667,0.708863727773501,0.6980831141340182
NAIRU[63],4.7311106845003454,4.740511787117754,4.291101348475232,5.201095967231852,4.439458327925854,5.040205425707028,2013 Q2,5.6312682999999994,-0.5970166986504211,0.6932436775644923
NAIRU[64],4.73502596763551,4.729951026589211,4.267388360970841,5.298121349352757,4.409887688888453,5.065119195239656,2013 Q3,5.7286164,5.475463371835865,0.5167970158442614
NAIRU[65],4.71494717318659,4.687925530753384,4.231607265683349,5.359784642145112,4.378874072763732,5.078354092258893,2013 Q4,5.840081433333333,4.629088381435409,0.6849341845574841
NAIRU[66],4.7351962792235085,4.649478823591369,4.18702862576198,5.4893237487673545,4.387219803875846,5.136420563454161,2014 Q1,5.8995707,7.669939312596341,0.7649846060403753
