variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg
NAIRU[1],5.579136433400853,5.218573266615937,5.959754943071718,5.343926096738862,5.806198303015291,1997 Q4,7.976021996748106,6.3871470386661855
NAIRU[2],5.601594721872809,5.218671143548277,6.010832311930897,5.360137953651421,5.872462703435422,1998 Q1,7.8396055088523315,8.205906323515144
NAIRU[3],5.645735190214738,5.1999941201130815,6.075490500821625,5.359459116187587,5.901580764940436,1998 Q2,7.733143539293041,10.244080555449209
NAIRU[4],5.663263081652354,5.194268985174304,6.168487027844964,5.3852583456644645,5.957956145799141,1998 Q3,7.786993133132569,11.102625319350423
NAIRU[5],5.695899605051466,5.214762880493938,6.219178767295485,5.388573720390996,5.996774614975832,1998 Q4,7.3740286201655625,6.51638942498538
NAIRU[6],5.732597479516693,5.231895674554216,6.3045889922057565,5.430040196176953,6.066116648620863,1999 Q1,7.08157189056463,3.2587647998844282
NAIRU[7],5.761798917953083,5.264348759987152,6.416894184482255,5.445692149385088,6.14186265872781,1999 Q2,6.885161385094019,-1.1469027348764982
NAIRU[8],5.80727498361281,5.302699699416185,6.479792466982472,5.479006791243517,6.1810549677014865,1999 Q3,6.873846195658862,-5.666003356549165
NAIRU[9],5.83900283000693,5.328815048618545,6.547310443524575,5.4943756004225355,6.248021497881315,1999 Q4,6.63320307442582,-3.9118416595471217
NAIRU[10],5.865630347673914,5.318268543966144,6.570348654537249,5.506448475011279,6.2944025069987175,2000 Q1,6.649737822990609,-2.0131970951924316
NAIRU[11],5.87906223278409,5.3144841725407,6.641067473446777,5.518702010021691,6.327752460031158,2000 Q2,6.301169713740595,4.170891253848286
NAIRU[12],5.925121368266607,5.356548618086446,6.728421687184719,5.542874803564479,6.385407139902015,2000 Q3,5.988972299770068,5.919918008416758
NAIRU[13],5.947757957533027,5.353296584554597,6.782569232095151,5.555818246620521,6.4278144975328315,2000 Q4,6.171110815012282,8.981477240732882
NAIRU[14],5.94472723283743,5.325521000241196,6.847028367619005,5.56367522348808,6.50367057280326,2001 Q1,6.366656106268753,8.228463259096674
NAIRU[15],5.950717434170102,5.3227565986248155,6.84737419211507,5.5644816624815565,6.504712488854671,2001 Q2,6.868653558839721,8.246203732647572
NAIRU[16],5.939845660022785,5.335337044694605,6.790598128562167,5.553442691360277,6.472073218955192,2001 Q3,6.866769455059907,5.66886876816568
NAIRU[17],5.923337141382197,5.318819942951098,6.750258263393991,5.556048059461094,6.436036730065783,2001 Q4,6.978651245402467,2.8755974987303645
NAIRU[18],5.896603160986128,5.311521743638978,6.696516641493159,5.540007475730091,6.384289484203331,2002 Q1,6.625910429425986,1.9355442952956103
NAIRU[19],5.867220491464236,5.305198388906394,6.678490427909555,5.506407442735303,6.35393246626118,2002 Q2,6.404006771732529,-4.324132417319415
NAIRU[20],5.8730720638264815,5.282581460279276,6.648235438281256,5.47803652410827,6.320424496929318,2002 Q3,6.279817567430889,-2.753210339020118
