date,region,DLWPI,UR
1997 Q3,AUS,NA,8.3732066
1997 Q4,AUS,0.8955283729103591,7.9760865333333335
1998 Q1,AUS,0.7401958295667477,7.8395823
1998 Q2,AUS,0.5882369903067008,7.7329733
1998 Q3,AUS,1.0211613170196365,7.7871232
1998 Q4,AUS,0.578872817624454,7.373851433333333
1999 Q1,AUS,1.0050335853502013,7.081623033333334
1999 Q2,AUS,0.4276556767259798,6.885279166666667
1999 Q3,AUS,0.9908078224696304,6.8734500333333335
1999 Q4,AUS,0.5617992304223662,6.6329774
2000 Q1,AUS,0.6978395381461944,6.6500349666666665
2000 Q2,AUS,0.554786443771782,6.3012467333333335
2000 Q3,AUS,1.2371291802547368,5.9889494333333335
2000 Q4,AUS,0.8163310639160315,6.1712069
2001 Q1,AUS,1.0781775603288857,6.366332933333333
2001 Q2,AUS,0.53476063265947,6.868633
2001 Q3,AUS,1.0610179112015672,6.8667495333333335
2001 Q4,AUS,0.7884403524148986,6.978586966666667
2002 Q1,AUS,0.6523180339123691,6.6259067
2002 Q2,AUS,0.6480904084082972,6.4038341999999995
2002 Q3,AUS,1.1560822401076365,6.279546033333333
2002 Q4,AUS,0.763362485507102,6.1569294333333335
2003 Q1,AUS,1.0088357944340487,6.0550219
2003 Q2,AUS,0.5006268278144432,6.0503393
2003 Q3,AUS,1.24071070470535,5.906318
2003 Q4,AUS,0.9816029737656606,5.708122133333333
2004 Q1,AUS,0.7299302481611036,5.5364295666666665
2004 Q2,AUS,0.4836768800614344,5.435035666666667
2004 Q3,AUS,1.3181736702064129,5.478746233333333
2004 Q4,AUS,0.9478743954543845,5.1168752
2005 Q1,AUS,1.0557282805876866,5.1063183
2005 Q2,AUS,0.6976772485647764,5.056454333333333
2005 Q3,AUS,1.3809195274187225,4.957940733333333
2005 Q4,AUS,0.9101314246345638,5.007213566666667
2006 Q1,AUS,1.014093197604904,5.0440011
2006 Q2,AUS,0.7816901891611217,4.856658899999999
2006 Q3,AUS,1.106205970585794,4.677776166666667
2006 Q4,AUS,0.9852296443011888,4.514877566666667
2007 Q1,AUS,1.0834342165709998,4.5491633333333334
2007 Q2,AUS,0.7514796502486654,4.324274633333333
2007 Q3,AUS,1.3807972966334958,4.2547153
2007 Q4,AUS,0.9448889197932075,4.3532732
2008 Q1,AUS,0.9360442759564158,4.0850542
2008 Q2,AUS,0.9273636785328776,4.2579072
2008 Q3,AUS,1.1218883604787955,4.184493333333333
2008 Q4,AUS,1.2096921708828923,4.4404717
2009 Q1,AUS,0.6989544181712048,5.306532366666667
2009 Q2,AUS,0.5952398527295344,5.728186833333334
2009 Q3,AUS,0.8862687257845003,5.682560866666667
2009 Q4,AUS,0.6839303650242101,5.557184066666667
2010 Q1,AUS,0.8725212890869471,5.328351933333333
2010 Q2,AUS,0.5774799493884153,5.2901615
2010 Q3,AUS,1.4292763556925436,5.124262866666666
2010 Q4,AUS,0.84786188555519,5.0896989
2011 Q1,AUS,0.9337135995940216,4.9668839
2011 Q2,AUS,0.5560718684697541,4.962494666666666
2011 Q3,AUS,1.194318284417406,5.194207666666666
2011 Q4,AUS,0.9090971701252393,5.204698433333333
2012 Q1,AUS,0.8111806535375798,5.1407978666666665
2012 Q2,AUS,0.7155665595412586,5.118494
2012 Q3,AUS,1.1519843832861199,5.274986866666667
2012 Q4,AUS,0.702373387930777,5.366085633333333
2013 Q1,AUS,0.6105557562484876,5.4751351999999995
2013 Q2,AUS,0.4338401598597663,5.630446
2013 Q3,AUS,0.9478743954543845,5.727545066666666
2013 Q4,AUS,0.5132603226520871,5.839836333333333
2014 Q1,AUS,0.6802747322752545,5.898155766666666
2014 Q2,AUS,0.42283361095210026,5.926701366666666
2014 Q3,AUS,0.8403410796379518,6.171731733333334
2014 Q4,AUS,0.584065072954143,6.253369666666667
2015 Q1,AUS,0.41511060023786683,6.201954066666667
2015 Q2,AUS,0.4133945531727967,6.0158837
2015 Q3,AUS,0.8216973102281422,6.181047966666667
2015 Q4,AUS,0.40833049793702614,5.8350603
2016 Q1,AUS,0.40666993825544395,5.795258266666667
2016 Q2,AUS,0.40502282990226846,5.6859729
2016 Q3,AUS,0.7249326954910096,5.6604635666666665
2016 Q4,AUS,0.40048111195130076,5.734496433333333
2017 Q1,AUS,0.39888365612323895,5.806185266666667
2017 Q2,AUS,0.3972988936776112,5.590543233333333
2017 Q3,AUS,0.789893522453422,5.537155566666667
2017 Q4,AUS,0.4709584843085146,5.493009366666667
2018 Q1,AUS,0.3907781448075909,5.5431441
2018 Q2,AUS,0.38925701155116954,5.4372112999999995
2018 Q3,AUS,1.0050335853501124,5.1922567
2018 Q4,AUS,0.4604766386748338,5.0449983
2019 Q1,AUS,0.45836596676576136,5.038531666666667
2019 Q2,AUS,0.4562745558418513,5.220721433333333
2019 Q3,AUS,0.8311343650793113,5.263283333333334
2019 Q4,AUS,0.4504512121104476,5.1737413
2020 Q1,AUS,0.4484312447328165,5.179222366666667
2020 Q2,AUS,0,6.8987810666666665
2020 Q3,AUS,0.44642931286862364,7.069535
2020 Q4,AUS,0.518327706185584,6.776098266666667
2021 Q1,AUS,0.5156549179245573,5.9210719
2021 Q2,AUS,0.29347049675942927,5.195023366666667
2021 Q3,AUS,0.8752791109595037,4.683498066666666
2021 Q4,AUS,0.5792919892783743,4.6960105
2022 Q1,AUS,0.575955515836668,4.0493744666666665
2022 Q2,AUS,0.572657255720177,3.7956282666666668
2022 Q3,AUS,1.417458176009312,3.5417816666666666
2022 Q4,AUS,0.7711219423490512,3.494348733333333
