period,median,lower90,upper90,date,region
44,6.013261690535844,5.5853694145714545,6.512833022531801,2008 Q3,VIC
45,6.002861854348698,5.57241334895752,6.49761923809534,2008 Q4,VIC
46,5.988480361223931,5.554920272238243,6.478432861861018,2009 Q1,VIC
47,5.977558791409958,5.545048328783891,6.467377984253488,2009 Q2,VIC
48,5.9627814641919,5.530174225772258,6.453181139077748,2009 Q3,VIC
49,5.955551542053131,5.525394415677653,6.438058101224983,2009 Q4,VIC
50,5.951055582188938,5.518932802522103,6.4324752536202645,2010 Q1,VIC
51,5.937626254580221,5.504319581344285,6.41642257055703,2010 Q2,VIC
52,5.931771297109741,5.49918691614222,6.415637174001945,2010 Q3,VIC
53,5.917879771744561,5.48185334013301,6.394824216320404,2010 Q4,VIC
54,5.900463141869086,5.464673521787777,6.383052871986985,2011 Q1,VIC
55,5.883076468767384,5.451237337667019,6.354179607109801,2011 Q2,VIC
56,5.865387430441216,5.434269807195181,6.332801234561232,2011 Q3,VIC
57,5.856191108052547,5.425012508670772,6.325346503443477,2011 Q4,VIC
58,5.835677721156971,5.403179448494249,6.307505484121535,2012 Q1,VIC
59,5.822251031892087,5.3937939137569755,6.297128413374176,2012 Q2,VIC
60,5.79767373647511,5.366480678269332,6.265072232785266,2012 Q3,VIC
61,5.782140425692342,5.345541717328478,6.2526062950062125,2012 Q4,VIC
62,5.753086386883016,5.317089060321771,6.227965516752489,2013 Q1,VIC
63,5.7318288743217645,5.290553161983941,6.199129772172399,2013 Q2,VIC
64,5.706292937384406,5.261575080739563,6.173926121296246,2013 Q3,VIC
65,5.679671580496098,5.235672805130492,6.151127382134775,2013 Q4,VIC
66,5.651898122647524,5.204060414705911,6.1196216458912325,2014 Q1,VIC
67,5.623040113338755,5.174746646034857,6.086412082929872,2014 Q2,VIC
68,5.586583362319692,5.135738354179801,6.051861332272248,2014 Q3,VIC
69,5.554028635371434,5.097926302855004,6.016856175087262,2014 Q4,VIC
70,5.514181372027895,5.062481593578636,5.973097859770566,2015 Q1,VIC
71,5.479590619850423,5.02642644373313,5.936312546546879,2015 Q2,VIC
72,5.441065572623161,4.986021885643786,5.900139063387499,2015 Q3,VIC
73,5.404443066294787,4.952500832310263,5.8548659059479755,2015 Q4,VIC
74,5.3654675256143936,4.9124500199208345,5.820017475441999,2016 Q1,VIC
75,5.336942689112441,4.886032086795356,5.785335895619588,2016 Q2,VIC
76,5.3062798619952805,4.857936176784484,5.752015117219667,2016 Q3,VIC
77,5.28019339940896,4.83162300946009,5.726275375286992,2016 Q4,VIC
78,5.256387890079633,4.8041666565986,5.701884008274927,2017 Q1,VIC
79,5.227174942435692,4.777326646686915,5.6725357625405,2017 Q2,VIC
80,5.198450618126496,4.749197027957216,5.645193554812752,2017 Q3,VIC
81,5.172471482069717,4.723802322359656,5.617454086056263,2017 Q4,VIC
82,5.138110967925195,4.6922362145984,5.584457876352598,2018 Q1,VIC
83,5.109535392556705,4.665328018641056,5.5590674574951375,2018 Q2,VIC
84,5.076939386641616,4.632509717180109,5.527475806609566,2018 Q3,VIC
85,5.0535374731337654,4.60800066524016,5.498418395252334,2018 Q4,VIC
86,5.021404492086923,4.5788993169055106,5.470706256224535,2019 Q1,VIC
87,5.0011313134530955,4.555766702130917,5.445590828572984,2019 Q2,VIC
88,4.971787382905697,4.528337359381499,5.422917541712341,2019 Q3,VIC
