variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[1],5.750204005057755,5.440712775581758,6.042046466409614,5.554953598727694,5.939667217091433,1997 Q4,7.976871933333333,6.3871470386661855,-0.32459639474031743
NAIRU[2],5.785500500438473,5.457801341747625,6.095367783200031,5.580967941098818,5.986360646554663,1998 Q1,7.8403206,8.205906323515144,0.3874808118249362
NAIRU[3],5.820326640475788,5.4879315837515374,6.153625942178086,5.6096790514249095,6.032245773316429,1998 Q2,7.7336126,10.244080555449209,0.4974484956477676
NAIRU[4],5.857235964789749,5.510871313131469,6.2050668340683,5.636568130229841,6.078168466305905,1998 Q3,7.7878253,11.102625319350423,1.1509850750960116
NAIRU[5],5.8902243756535855,5.5307823605426965,6.251909429697218,5.663932622964755,6.117000413786419,1998 Q4,7.3745465999999995,6.51638942498538,-0.9185208881969054
NAIRU[6],5.921680897939099,5.555349806761972,6.295779235474488,5.689485004137991,6.154355093468457,1999 Q1,7.0822801,3.2587647998844282,0.08910187550856818
NAIRU[7],5.948446231971414,5.57531993090398,6.336356853991681,5.712060887682094,6.186738195659587,1999 Q2,6.885881366666666,-1.1469027348764982,1.188810386365824
NAIRU[8],5.976282492041442,5.594414746195868,6.383562455915756,5.7344263417334975,6.2258679522829645,1999 Q3,6.8740763,-5.666003356549165,-0.7275899457054535
NAIRU[9],6.00757987690047,5.617245666124257,6.420850415231129,5.757046422025626,6.2652416388947705,1999 Q4,6.633631266666667,-3.9118416595471217,1.0629771772195262
NAIRU[10],6.037978699342908,5.6390997947987644,6.4616192670056245,5.778484562168564,6.301146403922108,2000 Q1,6.650682266666666,-2.0131970951924316,1.2897047659893746
NAIRU[11],6.052492760869725,5.648405581089214,6.485767089152575,5.793649798187531,6.32352660292717,2000 Q2,6.3018415999999995,4.170891253848286,0.21449122099721496
NAIRU[12],6.069524383473508,5.653588034256602,6.502142747233844,5.806973975056368,6.340042055032941,2000 Q3,5.989475933333333,5.919918008416758,1.626074060867122
NAIRU[13],6.071349843964963,5.655103468541594,6.5081838555219615,5.808337119258415,6.34483339727668,2000 Q4,6.1718063999999995,8.981477240732882,1.6769681688598492
NAIRU[14],6.06545556889706,5.647639623111991,6.503890615059692,5.799200127174039,6.339414326333473,2001 Q1,6.366921866666667,8.228463259096674,0.8866873053654523
NAIRU[15],6.042872721038098,5.624238631728882,6.483864072247816,5.778722486402434,6.317328356223099,2001 Q2,6.869281033333333,8.246203732647572,0.497283463583309
NAIRU[16],6.012999741410619,5.598687553204007,6.444525082220029,5.74829994988082,6.278011183079832,2001 Q3,6.867468833333334,5.66886876816568,-0.08790343666669198
NAIRU[17],5.978663183569339,5.572673153483282,6.404159677607193,5.719462281925146,6.24221583821129,2001 Q4,6.979271533333333,2.8755974987303645,-0.040595708002344466
NAIRU[18],5.938425362669341,5.538385373168379,6.358704853389213,5.684426914561815,6.194272740253724,2002 Q1,6.626567866666667,1.9355442952956103,0.46183061194531305
NAIRU[19],5.892646422410904,5.500786106875317,6.304560201347995,5.6431501008554825,6.14162746616337,2002 Q2,6.404474766666667,-4.324132417319415,-0.13362338362605808
NAIRU[20],5.848171800909858,5.463174260527579,6.248329962848138,5.603251184544518,6.095992448986683,2002 Q3,6.280212733333333,-2.753210339020118,1.516859752793609
NAIRU[21],5.8021167517469525,5.4212517924845125,6.194226515380044,5.563651691905706,6.045803122957622,2002 Q4,6.1575767,-4.345011692652445,-0.011536428285330302
NAIRU[22],5.755324312018859,5.380586464134536,6.146260741350479,5.521081715294025,5.993964453591378,2003 Q1,6.0556449,-4.659608729443221,1.5506952955106845
NAIRU[23],5.699246854739631,5.328406864272759,6.080181190841209,5.467800845057505,5.932146403834549,2003 Q2,6.050972933333333,-5.552309049921789,1.5393829561102912
NAIRU[24],5.640287891286116,5.272750482582953,6.011986229275684,5.408382530952545,5.870799730998112,2003 Q3,5.906948066666667,-8.031641781620547,-0.5815058324957212
NAIRU[25],5.5895042638525485,5.222465462549164,5.960449102614263,5.362574592713598,5.821532136333282,2003 Q4,5.708732366666667,-10.389959501815138,0.09632446944294326
NAIRU[26],5.542081170920442,5.1755427918378425,5.91397622211197,5.3149243842156535,5.773087004436231,2004 Q1,5.537008233333333,-11.98772772594987,1.3564890671777352
NAIRU[27],5.493668267748356,5.132337651576522,5.862215302867302,5.264889687153547,5.722182221277386,2004 Q2,5.435607833333333,-6.52308022313326,0.743696782644232
NAIRU[28],5.452018308061183,5.089751138843019,5.81582311852962,5.222235598742333,5.679740993813324,2004 Q3,5.4793238,-2.613938820303563,1.4948398670257212
NAIRU[29],5.414643070483688,5.049604161525106,5.779637878655607,5.1836521106143,5.642738902996252,2004 Q4,5.1174322,-2.0277192439150937,1.3463102792216297
NAIRU[30],5.372861252102015,5.0066918306702535,5.743196089539244,5.143493706861219,5.602427044163079,2005 Q1,5.106875466666667,-0.5676458004804985,0.873473435295713
NAIRU[31],5.336704990252949,4.968457627505959,5.710279359161851,5.10577400446071,5.569596699062496,2005 Q2,5.057009066666667,-2.6194201090823377,0.7519179010381682
NAIRU[32],5.30111215935501,4.940862530782676,5.680255298841253,5.073776336441394,5.540095782696389,2005 Q3,4.958453066666666,-2.6841037524811817,1.1660491840322917
NAIRU[33],5.277933980694392,4.91259393325035,5.656322029653178,5.049167385439725,5.514517530500092,2005 Q4,5.007769466666667,-1.0294896726862568,0.5469892555653999
NAIRU[34],5.264537570087093,4.900770391559658,5.635443488826912,5.0337534176462455,5.496581713913786,2006 Q1,5.044552666666666,1.1320875624481808,1.8728359452066412
NAIRU[35],5.246740492220215,4.882862639839854,5.622385821663817,5.017762963570038,5.479133628017048,2006 Q2,4.857195366666667,1.2246973609973288,1.2483713884416048
NAIRU[36],5.23694553971754,4.879121494642868,5.604695049204221,5.007520735637765,5.4621751144058726,2006 Q3,4.678258233333334,-0.7532992307544895,0.32535042220018795
NAIRU[37],5.2322892796340685,4.875795741914746,5.59717774224241,5.006491062173515,5.463868534172659,2006 Q4,4.515391533333333,-1.5166167471410752,2.185983810148606
NAIRU[38],5.2220240966600535,4.873433022483103,5.588426651457908,4.998214077133709,5.451497951573492,2007 Q1,4.549659466666666,-2.2771382412477337,1.0509687371229148
NAIRU[39],5.210909615772327,4.866123167156212,5.579349164558592,4.9925119425332305,5.435311285319441,2007 Q2,4.324776,-4.011999378942566,1.9302836253491495
NAIRU[40],5.18583068677246,4.845005785874532,5.548608118656454,4.966361839283978,5.408296584616861,2007 Q3,4.255168566666667,-4.050698427981736,0.5937212252953739
NAIRU[41],5.158457872923823,4.814599374117333,5.521360130126116,4.943378971640576,5.383273586343421,2007 Q4,4.353768033333333,-4.293342290860114,1.1775649176656078
NAIRU[42],5.123398260894875,4.779642606791664,5.489974522771326,4.907049313330159,5.348530312467982,2008 Q1,4.085510833333333,-2.8225718064629035,0.933550817688289
NAIRU[43],5.08240280069607,4.736998748084294,5.455668408973577,4.861016747544494,5.310116433181035,2008 Q2,4.258409866666667,-2.366974408590483,2.273146474935084
NAIRU[44],5.035443680603783,4.686563289342793,5.408234376883838,4.813141937338843,5.266127397850356,2008 Q3,4.1849405,0.5888142625222414,-0.08063634447459389
NAIRU[45],4.987363933652457,4.628327838124492,5.360994016064186,4.759016925006715,5.2165223959748666,2008 Q4,4.4409917,15.997331929834147,0.7124960351927889
NAIRU[46],4.957026509609784,4.594548863338442,5.331428630141458,4.727174186372477,5.187293912192858,2009 Q1,5.307062133333333,17.60498742460772,-1.3612447244380155
NAIRU[47],4.930356091009685,4.5682222382429005,5.3044841680568435,4.700181136779451,5.1635278912163765,2009 Q2,5.728827166666667,12.903025974373161,-0.8700163255326743
NAIRU[48],4.911887887775016,4.547597265036623,5.2903769497887065,4.684792598086814,5.144872438931674,2009 Q3,5.683132533333334,6.166011635755986,0.9380994179180924
NAIRU[49],4.8904358440063325,4.522467381734745,5.265934737490251,4.661420418568186,5.122381306893761,2009 Q4,5.5577709,-12.760168444084918,0.8221728106937443
NAIRU[50],4.879477042271338,4.509473799039012,5.254543091459326,4.646698927746218,5.111190805223394,2010 Q1,5.328896833333333,-14.112877009846336,1.371271521183104
NAIRU[51],4.855985601184983,4.484524305478721,5.230035084101246,4.622707675874206,5.087354977043299,2010 Q2,5.290768,-7.654007712233479,2.0903505023766256
NAIRU[52],4.829459382015161,4.456653215928766,5.2026435770843005,4.593796142464467,5.061111574459393,2010 Q3,5.124878366666667,-3.0829158019901826,1.4559593040532226
NAIRU[53],4.799562363539055,4.424861927474129,5.174329909779696,4.561626633174312,5.0300718541700675,2010 Q4,5.090218133333333,-2.3438572972017013,1.3360303564848186
NAIRU[54],4.769801312006243,4.397232570390117,5.145252331601053,4.5350342055021065,5.002624307233101,2011 Q1,4.9673792,-4.185525773661247,2.1497071746743757
NAIRU[55],4.740257211778206,4.3670117842993585,5.112134145052978,4.5066805075029235,4.9766588735877075,2011 Q2,4.9630677,-5.84962066816086,0.5596068732727666
NAIRU[56],4.714362572533936,4.332868074010454,5.0848422962157835,4.477906431849553,4.947214660970912,2011 Q3,5.194879766666666,-5.760499194271507,0.2992070308342809
NAIRU[57],4.699420432382771,4.322197098834877,5.072572582243145,4.463675713741363,4.930559182610551,2011 Q4,5.205116,0,-0.07489258334092419
NAIRU[58],4.688798812406224,4.307947815963599,5.067272828432372,4.456268044453266,4.922032154369406,2012 Q1,5.1413123,-2.2111453607431386,1.275309283565229
