date_qtr,dummies,unemp_gap,momentum,expectations,residuals
2014 Q4,-0,-0.2384561224341247,-0.029924178302000237,0.8478885179228515,0.005044595556861875
2015 Q1,-0,-0.2635670104759747,-0.010284335705277613,0.8452783189294343,0.009728668729511059
2015 Q2,-0,-0.27097825135270803,0.0063730769242722005,0.8515374695769141,-0.09147298268015125
2015 Q3,-0,-0.28814495609926416,0.023259123419067034,0.8460374074122138,-0.006201325605933894
2015 Q4,-0,-0.26207727739822867,-0.021501404941678928,0.8403509024622695,-0.0665751601016924
2016 Q1,-0,-0.28690996784910516,0.04587897891054176,0.8221327788755625,-0.09329594459370694
2016 Q2,-0,-0.2601399204423601,0.005069193226450135,0.8227320592567041,-0.08222348556098602
2016 Q3,-0,-0.2623491900113332,0.01495163981035448,0.7836190263808573,-0.13348230918163362
2016 Q4,-0,-0.26028988216844245,0.0038071653805910387,0.7843248454964241,-0.04668642898630393
2017 Q1,-0,-0.26263544305330866,-0.009880568601849719,0.7809688753620309,0.04998496568312916
2017 Q2,-0,-0.25759100046404293,-0.010343511524524089,0.7770535768719051,-0.03292768885896735
2017 Q3,-0,-0.26693250665602286,0.030030920361038875,0.7859096091709988,-0.07507348648637291
2017 Q4,-0,-0.24880182325398004,0.008201644850391375,0.7769070861120706,0.013792711326278795
2018 Q1,-0,-0.25065009358505685,0.005940732906261337,0.7724990459752283,-0.058672327708421346
2018 Q2,-0,-0.24129759831040518,-0.007743127494499942,0.7628439731679458,0.10828274014721617
2018 Q3,-0,-0.2360079909594203,0.015697551220712484,0.7654275374777567,0.07312289309274367
2018 Q4,-0,-0.2264125008829345,0.038598864871863744,0.7711806291367168,-0.045524743849802096
2019 Q1,-0,-0.20929133199272135,0.022109612725383924,0.766000183175292,-0.043853489183970806
2019 Q2,-0,-0.20897506985296008,1.1058316429275604e-4,0.766000183175292,0.050768911151618634
2019 Q3,-0,-0.20807453195140901,-0.026731746028062366,0.766000183175292,-0.0022920300166653362
2019 Q4,-0,-0.21997817068240635,-0.004746837747099234,0.766000183175292,-0.015155960409623748
2020 Q1,-0,-0.22370485759992914,0.012675013993638323,0.766000183175292,-0.03160465895813558
2020 Q2,-0.24459949828163835,-0.2950318094434393,-0.0014780531425341245,0.766000183175292,-0.0014270421660163013
2020 Q3,-0.2331118303998011,-0.2647639231688213,-0.18769993617603292,0.766000183175292,-0.006047398146175276
2020 Q4,-0,-0.3768777467638948,-0.017526022082755756,0.766000183175292,0.14750004236836883
2021 Q1,-0,-0.34833964702598974,0.037268809347699536,0.766000183175292,0.20854525935862772
2021 Q2,-0,-0.3013796119498279,0.12484899919691914,0.766000183175292,-0.07646001731933338
2021 Q3,-0,-0.2184195011614957,0.1197945393438934,0.766000183175292,-0.22973776137788915
2021 Q4,-0,-0.16553328248329,0.0868837689440804,0.766000183175292,0.037815669896019366
2022 Q1,-0,-0.03979212819144338,-0.00377201276197646,0.766000183175292,-0.07425228200284884
2022 Q2,-0,-0.02887497838455464,0.1290193927075957,0.766000183175292,-0.07958351690319465
2022 Q3,-0,0.10118155374803306,0.05537552593883402,0.766000183175292,0.06965498776941548
2022 Q4,-0,0.14897412751439337,0.05968151049606589,0.766000183175292,-0.06204857474797132
2023 Q1,-0,0.20151461125309977,0.008498668924827413,0.766000183175292,-0.07165947372106296
2023 Q2,-0,0.22692120918807812,-0.026628847815867003,0.766000183175292,-0.13870161416159
2023 Q3,-0,0.20371429689421752,0.0016553694041449402,0.766000183175292,0.3251341522552831
2023 Q4,-0,0.1768391779124349,-0.010012309557900891,0.766000183175292,0.1460775475519943
2024 Q1,-0,0.17597135275061435,-0.04689159727838485,0.766000183175292,-0.16002818271343067
2024 Q2,-0,0.10897571163423904,-9.264677647867063e-4,0.766000183175292,-0.012260865105796714
2024 Q3,-0,0.1038368184607373,-0.027392924510541226,0.766000183175292,-0.05348534960916784
2024 Q4,-0,0.094723715241057,-0.014710490554315286,0.766000183175292,-0.06323054583734455
2025 Q1,-0,0.07110927963035849,0.022923834477857688,0.766000183175292,0.045535633697329825
2025 Q2,-0,0.08775512479008278,-0.013762734301721338,0.766000183175292,-0.006387233457608388
2025 Q3,-0,0.06397475963459093,-0.015947440170217004,0.766000183175292,-4.775892498951606e-4
>>>>>>> Stashed changes
=======
1999 Q1,-0,0.18492498382123262,0.09205148449494722,0.5528303246704843,0.03226751140402784
1999 Q2,-0,0.17851023652148412,0.06695459314599732,0.545432021373643,-0.07813545861783555
1999 Q3,-0,0.1958845948469925,0.04506975600597505,0.5494555062234655,-0.08269281966799347
1999 Q4,-0,0.20291050681370237,0.002807229954775212,0.5695291016615774,-0.07250325768429788
2000 Q1,-0,0.17855340585807616,0.05703093389876444,0.5623061136087373,-0.23922978250168037
2000 Q2,-0,0.2567083162574697,-0.0042681850907866125,0.5450726251234411,0.1726958243549469
2000 Q3,-0,0.1859994212946525,0.09187538170346769,0.5402952847244143,0.006010401787894248
2000 Q4,-0,0.2422391038228196,0.07983840850525585,0.5386210241442051,0.09233794859706679
2001 Q1,-0,0.369913912053957,-0.04517421307579251,0.5155057092226761,0.10379396970788246
2001 Q2,-0,0.3937028061914754,-0.04480652728352099,0.5187928700476945,0.06752140807238338
2001 Q3,-0,0.39347172124589497,-0.11539274563590425,0.5246834622461273,-0.14006948909518346
2001 Q4,-0,0.3374250343030907,4.0959712883370725e-4,0.5205986170609045,-0.06895546379207496
2002 Q1,-0,0.33782002873481537,-0.026614880120615282,0.5310035767923625,-0.05891490328781579
2002 Q2,-0,0.2720669289494308,0.08687350191071164,0.5377795109730004,-0.11951395706285228
2002 Q3,-0,0.30827116710812613,0.055785532601475736,0.5393661139312093,-0.00425169444441531
2002 Q4,-0,0.33843440633536537,0.03183387439758599,0.5462735345448477,-0.025383785221449795
2003 Q1,-0,0.34712426088530246,0.03194615299096742,0.5510421091816744,0.07872327137610435
2003 Q2,-0,0.3310033039857232,0.026573291764459248,0.5405056630172156,-0.1480787431127577
2003 Q3,-0,0.35939084438669366,0.0012476634586590896,0.5381827360342025,-0.030867871907214406
