variable,median,lowera,uppera,lowerb,upperb,date,LUR,DLWPI_EST
NAIRU[1],5.6764793780994065,5.349937905846958,5.977236425300915,5.471222990460111,5.876362263761105,1997 Q4,7.976871933333333,0.8968669982760247
NAIRU[2],5.705433934916353,5.363708485540599,6.041808602225238,5.481786460571795,5.920175682447026,1998 Q1,7.8403206,0.8888947417245774
NAIRU[3],5.740679714085116,5.373725043296592,6.08314113289436,5.508884083612685,5.953951294283216,1998 Q2,7.7336126,0.7347571630394789
NAIRU[4],5.762252456189396,5.387430905038278,6.130971695922901,5.527749573625269,5.996595825775204,1998 Q3,7.7878253,0.729397836255341
NAIRU[5],5.7881704733951995,5.406887013892547,6.168839514460509,5.543847811551557,6.02392149304205,1998 Q4,7.3745465999999995,0.7241161256559714
NAIRU[6],5.80997193086297,5.416178008081706,6.198295337745208,5.556943291718347,6.056916154986457,1999 Q1,7.0822801,0.862074304390692
NAIRU[7],5.82805897662935,5.416519690742745,6.237223582240769,5.571379949876266,6.0812637516741175,1999 Q2,6.885881366666666,0.712761392423289
NAIRU[8],5.848718633284505,5.431846840350466,6.277793468037229,5.582963635751959,6.108121092746192,1999 Q3,6.8740763,0.7077170374084396
NAIRU[9],5.89205026756361,5.489455896057428,6.323814592655855,5.6237529092151,6.155774623267778,1999 Q4,6.633631266666667,0.7027435807457572
NAIRU[10],5.919108306046413,5.507584949903203,6.367334243787395,5.651956552787933,6.184732858175202,2000 Q1,6.650682266666666,0.5586606708638975
NAIRU[11],5.959512724690324,5.530554425700007,6.414661821477621,5.695488524066978,6.23803105580884,2000 Q2,6.3018415999999995,0.9702085806450711
NAIRU[12],5.984524927731329,5.545312647986662,6.467675449645278,5.710339955252726,6.278160874740017,2000 Q3,5.989475933333333,0.8241804895104288
NAIRU[13],6.007794039869781,5.560037775476143,6.479754285736275,5.727911331080183,6.294552740881199,2000 Q4,6.1718063999999995,0.95303648506934735
NAIRU[14],6.00480441060037,5.56258992508711,6.481810135388529,5.717912761594513,6.284687545244657,2001 Q1,6.366921866666667,0.944039377908723
NAIRU[15],6.002788520565251,5.568765448658532,6.492389336356785,5.718369579560646,6.294887681567019,2001 Q2,6.869281033333333,0.9352105570280322
NAIRU[16],5.992400745696456,5.562705302806833,6.4836560381076405,5.709068829137753,6.2816458049596795,2001 Q3,6.867468833333334,0.6626929487609345
NAIRU[17],5.981171295912519,5.543133790581996,6.458142235867851,5.691218362530845,6.283409416159147,2001 Q4,6.979271533333333,0.7894777847007539
NAIRU[18],5.959925704411711,5.5180586145343,6.4530697963163925,5.6724279028078755,6.26736183758028,2002 Q1,6.626567866666667,0.7832938221187469
NAIRU[19],5.93241610998192,5.495452814359243,6.4363874759463515,5.657407163366,6.251798493163163,2002 Q2,6.404474766666667,0.7772059847702906
NAIRU[20],5.9148875085105495,5.480457210034546,6.405016659966545,5.63947348608195,6.213973587886271,2002 Q3,6.280212733333333,0.8991711191963958
