variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLWPI_EST
NAIRU[1],5.838920258911126,5.526660736154262,6.12004968831091,5.642448251058953,6.022366641510038,1997 Q4,7.976871933333333,6.3871470386661855,0.8968669982760247
NAIRU[2],5.905737143822481,5.571690382334465,6.210450426439982,5.694566315212719,6.103046527738187,1998 Q1,7.8403206,8.205906323515144,0.8888947417245774
NAIRU[3],5.9641015660962395,5.615026593840886,6.293427970888001,5.753637310614481,6.176140745071442,1998 Q2,7.7336126,10.244080555449209,0.7347571630394789
NAIRU[4],6.027933843208875,5.644624550985987,6.378369872088731,5.811763573686387,6.250569013296784,1998 Q3,7.7878253,11.102625319350423,0.729397836255341
NAIRU[5],6.069554841847491,5.691953473047191,6.42828524141098,5.855990197258167,6.305486066999087,1998 Q4,7.3745465999999995,6.51638942498538,0.7241161256559714
NAIRU[6],6.11754471315222,5.730362260503484,6.481587779855731,5.886007401412975,6.350889509390313,1999 Q1,7.0822801,3.2587647998844282,0.862074304390692
NAIRU[7],6.14195846466191,5.7690673738638045,6.524813163618031,5.925475089459586,6.389022148394871,1999 Q2,6.885881366666666,-1.1469027348764982,0.712761392423289
NAIRU[8],6.193093083389201,5.808881885426084,6.577602492193717,5.954987707414504,6.43272139455524,1999 Q3,6.8740763,-5.666003356549165,0.7077170374084396
NAIRU[9],6.2527746334215,5.859028474097888,6.623075670560957,5.996455970227555,6.50138010871672,1999 Q4,6.633631266666667,-3.9118416595471217,0.7027435807457572
NAIRU[10],6.3073044034019805,5.900410518308698,6.6899297133333135,6.040804550609877,6.55446696994014,2000 Q1,6.650682266666666,-2.0131970951924316,0.5586606708638975
NAIRU[11],6.367934767601146,5.932921367398256,6.750077318598147,6.089084682701436,6.627513287003334,2000 Q2,6.3018415999999995,4.170891253848286,0.9702085806450711
NAIRU[12],6.401828543570641,5.973028359408306,6.81248058657532,6.121583041530314,6.662199013234108,2000 Q3,5.989475933333333,5.919918008416758,0.8241804895104288
NAIRU[13],6.426898805632399,5.980133497646881,6.844582037838469,6.133828462350426,6.688475312803229,2000 Q4,6.1718063999999995,8.981477240732882,0.95303648506934735
NAIRU[14],6.430095186163877,5.977929653569915,6.852080401406133,6.135009539489674,6.705217327682768,2001 Q1,6.366921866666667,8.228463259096674,0.944039377908723
NAIRU[15],6.42589061759679,5.96335920160568,6.842371793316258,6.120318424464138,6.699851055058014,2001 Q2,6.869281033333333,8.246203732647572,0.9352105570280322
NAIRU[16],6.394561429903513,5.930126474286509,6.814560710363123,6.097224121282595,6.671591073283413,2001 Q3,6.867468833333334,5.66886876816568,0.6626929487609345
NAIRU[17],6.358731691461493,5.9059916982292435,6.775039295499374,6.063746070008922,6.631566024772926,2001 Q4,6.979271533333333,2.8755974987303645,0.7894777847007539
NAIRU[18],6.318009229157885,5.869858166767196,6.719750196408769,6.0322956494670175,6.582600363414128,2002 Q1,6.626567866666667,1.9355442952956103,0.7832938221187469
NAIRU[19],6.258467824523481,5.836201144921242,6.65769587632025,5.980561521685558,6.525918685005403,2002 Q2,6.404474766666667,-4.324132417319415,0.7772059847702906
NAIRU[20],6.2056560510107825,5.778899650084585,6.604392419097513,5.932609929633454,6.47432379108214,2002 Q3,6.280212733333333,-2.753210339020118,0.8991711191963958
NAIRU[21],6.130144323680353,5.7066875316022525,6.537853150557004,5.867267307225516,6.388054477581517,2002 Q4,6.1575767,-4.345011692652445,0.8911580300563493
NAIRU[22],6.074267307166707,5.667508026158043,6.470421229017461,5.816305521165015,6.331374792031626,2003 Q1,6.0556449,-4.659608729443221,1.0088357944340487
NAIRU[23],5.998260326035139,5.586540986008004,6.390120103010839,5.7453728884506186,6.237734939394148,2003 Q2,6.050972933333333,-5.552309049921789,0.7500035156546403
NAIRU[24],5.921935714285647,5.512979877404178,6.31440364511357,5.666723220664641,6.162557688051797,2003 Q3,5.906948066666667,-8.031641781620547,0.8679533719723409
NAIRU[25],5.85486541060788,5.467775615886127,6.243533975542315,5.6090444142172196,6.101311993281884,2003 Q4,5.708732366666667,-10.389959501815138,0.9828088936262525
NAIRU[26],5.7851407301712925,5.396869983216291,6.166197797387179,5.546465099744948,6.015106370544473,2004 Q1,5.537008233333333,-11.98772772594987,0.8521049731933239
