variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST,DLWPI_EST
NAIRU[1],6.3305329603450975,5.664318110618354,7.034733840955532,5.909405257568154,6.7587191480094155,1997 Q4,7.976871933333333,6.3871470386661855,146.63370687934272,0.8968669982760247
NAIRU[2],7.004647035823028,6.154309310989565,7.828982433393127,6.444458911332692,7.517951609429059,1998 Q1,7.8403206,8.205906323515144,-18.232155679395458,0.8888947417245774
NAIRU[3],7.674666702124666,6.673510365390194,8.614747867091646,7.0405088348907325,8.263264963036521,1998 Q2,7.7336126,10.244080555449209,33.64722366212129,0.7347571630394789
NAIRU[4],8.319845645989052,7.279023666619536,9.324651383405214,7.673364245893631,8.952191979173087,1998 Q3,7.7878253,11.102625319350423,76.21400520468968,0.729397836255341
NAIRU[5],8.841909741107392,7.759705731047532,9.910627374311316,8.189238503330273,9.492913393493513,1998 Q4,7.3745465999999995,6.51638942498538,-160.94379124341006,0.7241161256559714
NAIRU[6],8.895829003200749,7.822218382307572,9.978348678061346,8.249396613959856,9.55279872643538,1999 Q1,7.0822801,3.2587647998844282,28.7682072451781,0.862074304390692
NAIRU[7],9.207065232586306,8.100882217649328,10.297028313232083,8.50964482012068,9.903781286021886,1999 Q2,6.885881366666666,-1.1469027348764982,75.37718023763802,0.712761392423289
NAIRU[8],8.818929358796947,7.770181204905947,9.90093995517153,8.16791000922676,9.482390964971087,1999 Q3,6.8740763,-5.666003356549165,-144.69189829363253,0.7077170374084396
NAIRU[9],8.73917979459127,7.717360953817295,9.798321666924318,8.08316108903366,9.419240824958237,1999 Q4,6.633631266666667,-3.9118416595471217,194.5910149055313,0.7027435807457572
NAIRU[10],7.9104763649692,6.824118150386183,8.985991820862834,7.2321856159607805,8.599727274389585,2000 Q1,6.650682266666666,-2.0131970951924316,-49.899116611898776,0.5586606708638975
NAIRU[11],7.402081293921256,6.400987783905578,8.481060041581715,6.749250796085019,8.083716180677415,2000 Q2,6.3018415999999995,4.170891253848286,-43.531807125784546,0.9702085806450711
NAIRU[12],7.2404027051068125,6.153338287048338,8.311570457734708,6.566802790460128,7.908531029068461,2000 Q3,5.989475933333333,5.919918008416758,49.24764850977941,0.8241804895104288
NAIRU[13],6.725037619848768,5.670561747535943,7.832245107233331,6.001503811935935,7.393218881209191,2000 Q4,6.1718063999999995,8.981477240732882,-32.5422400434628,0.95303648506934735
NAIRU[14],6.409402276787667,5.290023317921074,7.489085026464932,5.716926345878589,7.0847129377759845,2001 Q1,6.366921866666667,8.228463259096674,32.5422400434628,0.944039377908723
NAIRU[15],6.190411212354016,5.144394817197524,7.299069919097615,5.53532586121572,6.90667732693477,2001 Q2,6.869281033333333,8.246203732647572,-25.131442828090616,0.9352105570280322
NAIRU[16],6.282767193395612,5.226776563651267,7.338624461509972,5.618110934786743,6.960158687478381,2001 Q3,6.867468833333334,5.66886876816568,-24.116205681688797,0.6626929487609345
NAIRU[17],6.427482836081188,5.347836605638864,7.506819797153981,5.758772856800068,7.097089892687297,2001 Q4,6.979271533333333,2.8755974987303645,8.701137698962965,0.7894777847007539
NAIRU[18],6.453354399197785,5.390506228599753,7.524258907337455,5.769652883964352,7.138404988165382,2002 Q1,6.626567866666667,1.9355442952956103,8.004270767353647,0.7832938221187469
NAIRU[19],6.278784320511333,5.137235581446259,7.323996449838755,5.555399000029268,6.9672775825879825,2002 Q2,6.404474766666667,-4.324132417319415,7.410797215372184,0.7772059847702906
NAIRU[20],6.425002167369584,5.353561740420926,7.494636782302892,5.719303665772908,7.0765839931712495,2002 Q3,6.280212733333333,-2.753210339020118,25.131442828090616,0.8991711191963958
NAIRU[21],6.437151893502504,5.416791225957947,7.504700340871732,5.769749962539426,7.116283373642294,2002 Q4,6.1575767,-4.345011692652445,-94.44616088408515,0.8911580300563493
NAIRU[22],6.624084841236408,5.587251228160217,7.681724581650831,5.987161467314169,7.297257771530688,2003 Q1,6.0556449,-4.659608729443221,88.73031950009029,1.0088357944340487
NAIRU[23],6.460261082449296,5.436246154106422,7.476339188006104,5.804060861017687,7.078575851901515,2003 Q2,6.050972933333333,-5.552309049921789,11.122563511022431,0.7500035156546403
NAIRU[24],6.1968966495876145,5.223621566559039,7.2134452885275575,5.57161179447523,6.84199729858318,2003 Q3,5.906948066666667,-8.031641781620547,-45.953232937844014,0.8679533719723409
NAIRU[25],6.014755784213742,5.050100114005931,7.027741237549654,5.39034734295915,6.666692787757593,2003 Q4,5.708732366666667,-10.389959501815138,40.54651081081645,0.9828088936262525
NAIRU[26],5.688202355407124,4.725084175803639,6.667278571726099,5.0892229421453505,6.323291392081611,2004 Q1,5.537008233333333,-11.98772772594987,15.415067982725827,0.8521049731933239
NAIRU[27],5.330539070686655,4.40417207431414,6.28880237277589,4.720795373911118,5.940793975112882,2004 Q2,5.435607833333333,-6.52308022313326,-33.64722366212129,0.8449054486527885
