date_qtr,expectations,import_price,unemp_gap,momentum,dummies,residuals,aena_demeaned
1997 Q4,NA,NA,NA,NA,NA,NA,NA
1998 Q1,NA,NA,NA,NA,NA,NA,NA
1998 Q2,NA,NA,NA,NA,NA,NA,NA
1998 Q3,NA,NA,NA,NA,NA,NA,NA
1998 Q4,NA,NA,NA,NA,NA,NA,NA
1999 Q1,NA,NA,NA,NA,NA,NA,NA
1999 Q2,NA,NA,NA,NA,NA,NA,NA
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
1999 Q3,0.7203590449510091,0.05263920910156054,-0.17358003856487236,0.004880692871583148,0,0.16619132914280954,0.029509762497910118
1999 Q4,0.7466763643239999,0.023421295578524837,-0.14158401510752516,3.040004748938434e-4,0,-0.03603854111597149,0.0072208958460781205
2000 Q1,0.7372067262614042,0.022767558457214513,-0.12997343326894034,0.006175992443858083,0,0.08621184529045878,-0.022388689183995426
2000 Q2,0.7146129053499194,-0.0466762637819617,-0.0941176243201105,-4.622101913406847e-4,0,-0.09303211634278064,0.01967530928627415
2000 Q3,0.7083496131847316,-0.06557913032076892,-0.05490559181187125,0.009949366499668818,0,0.006681325874509536,-0.0044955834262697236
2000 Q4,0.7061545878571154,-0.053640684724088505,-0.049541220815746446,0.008645858904106034,0,0.006296700360019614,-0.01791524158140626
2001 Q1,0.6758494476009682,-0.017543811249321282,-0.04571669804219511,-0.004892004733932193,0,0.3623596637610952,0.029943402663385178
2001 Q2,0.6801590523017855,0.013706718524601745,-0.0835736776366154,-0.004852187313463262,0,0.21223945889678486,-0.01767936477309344
2001 Q3,0.6878818639256501,0.01590182415484129,-0.10863795880139766,-0.012496108276754386,0,0.13477346675214652,-0.017423087754485922
2001 Q4,0.6825264618174345,0.027905783770739045,-0.14296830789273912,4.4356081862403914e-5,0,0.32654597683536424,0.005945729387338926
2002 Q1,0.6961677972304214,0.025354269069239366,-0.14085230430117227,-0.0028821779213871477,0,0.1035736454783911,0.018638770444507412
2002 Q2,0.7050513290537062,0.032517167084906665,-0.12979539361830844,0.009407703060315301,0,-0.011667632623457713,-0.005513172957161977
2002 Q3,0.7071314315893006,0.00697784803540615,-0.1152697621148115,0.00604112547823414,0,0.1023383773684663,-0.007219020356595621
2002 Q4,0.716187347600618,0.03899216534847588,-0.09582063484578443,0.0034473531169455004,0,0.021165700847599167,0.016028067932145767
2003 Q1,0.7224391474866035,-0.010813942390176353,-0.08410326912957103,0.0034595119875254843,0,0.18551453667207252,-0.01649598462645417
2003 Q2,0.7086254278855839,-0.030624711767525035,-0.08330061959832905,0.002877674236179606,0,-0.10475973204993483,0.007181961294025362
2003 Q3,0.7055799738970063,0.018135404266648305,-0.07419951924839371,1.3511193954555457e-4,0,0.04154958764007788,0.008799441505115677
2003 Q4,0.7105791153499544,0.002739042050504503,-0.061896405985568795,0.004309778438958892,0,0.045898923572454176,-0.0016304534263031803
2004 Q1,0.7138429226433733,0.02781310172575646,-0.047611974981410406,0.006115331815529388,0,0.012149841372828485,-0.012309222576077276
2004 Q2,0.7250134180278918,0.02298042855174931,-0.032707928158623355,0.005396850191054008,0,-0.12676772597265007,0.0060849573605783625
2004 Q3,0.7234389757771931,-0.010247307190748156,-0.031095237667501642,0.003161330110532361,0,-0.07522313059709596,-0.010034630432379675
2004 Q4,0.7245307423014001,-0.07596716558223737,0.002565497608726876,-0.0014593018535608551,0,0.14025489536426927,0.010075332161401909
2005 Q1,0.7446307386260119,-0.0576431246888027,0.0044332523542911575,0.012105434454984762,0,-0.10772824316116725,0.004201942414682124
2005 Q2,0.748607067229966,0.025425201116466803,0.01720302268103922,3.566095459188726e-4,0,-0.17783487524454178,-0.013757025328849194
2005 Q3,0.7436194180562201,0.01714939180961448,0.03482204246276223,0.0017179833675817864,0,-0.2103412483646101,0.013032412668431482
2005 Q4,0.7382410313896002,0.022441640357535014,0.02829788191786428,0.0033619858903522295,0,-0.09168034524251811,-6.621943128336917e-4
2006 Q1,0.7531465175148269,0.010329588776576904,0.024552595047560716,-0.001670036070103864,0,1.0040585824511172e-4,0.013540928872894332
2006 Q2,0.7550542358623886,-0.03508457188986725,0.040525228284113646,-0.001293662776030437,0,0.07065294041476033,-0.02985416989536482
2006 Q3,0.757134338397983,-0.023807289380931226,0.05900019754857707,0.006841377799657614,0,-0.11043941787473732,0.0112707935094507
2006 Q4,0.7534223322156792,0.012186527359783417,0.09156099385722322,0.006769587507653649,0,-0.25983329447273296,-0.004106146467606641
2007 Q1,0.7522616120162591,0.03614751649439502,0.10901175220345416,0.006115198382169235,0,-0.3185392569161466,0.015003177819869035
2007 Q2,0.7583180431558076,0.012157966667623601,0.15422526435768197,-0.0013535722447159217,0,-0.022299787927565262,-0.0010479140088319996
2007 Q3,0.7710055193950136,-0.00224753795761294,0.17411771428690298,0.00902813207274132,0,-0.020874839020384117,-0.031028988776660823
2007 Q4,0.7726833921585319,0.012482647458078837,0.17220366260444803,0.0027311621130216694,0,0.21270639518588574,0.027192740480033683
2008 Q1,0.7760736145231748,-0.0023585646151591546,0.21694433829837545,-0.004122734283974324,0,0.12327773608602122,-0.0098143900084379
2008 Q2,0.7840147794518807,-0.012976021183400337,0.19135878383967814,0.010761209174967767,0,0.22218542230154603,0.0046558264153275675
2008 Q3,0.7792110067453698,-0.01521310749133098,0.20087034294205852,-0.0070576549673559775,0,0.23527442218048356,0.006914990590775091
