variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[1],5.8331971482533875,5.523465154462476,6.10422078345865,5.641402084081344,6.013408364343499,1997 Q4,7.976871933333333,6.3871470386661855,-0.32459639474031743,0.8968669982760247
NAIRU[2],5.891916990015556,5.573580541094909,6.187191516776308,5.69541981838762,6.082084490066728,1998 Q1,7.8403206,8.205906323515144,0.3874808118249362,0.8888947417245774
NAIRU[3],5.951985068910366,5.624117624690011,6.263744992648297,5.747833362711582,6.149001859992186,1998 Q2,7.7336126,10.244080555449209,0.4974484956477676,0.7347571630394789
NAIRU[4],6.009479213143788,5.678882260728626,6.33960307843246,5.799104448338998,6.2166822129486725,1998 Q3,7.7878253,11.102625319350423,1.1509850750960116,0.729397836255341
NAIRU[5],6.053238920073484,5.712912185533095,6.38734946797778,5.838664565399716,6.264172301554612,1998 Q4,7.3745465999999995,6.51638942498538,-0.9185208881969054,0.7241161256559714
NAIRU[6],6.09676957508084,5.758612835212151,6.441728988882432,5.883553702771151,6.312834493822605,1999 Q1,7.0822801,3.2587647998844282,0.08910187550856818,0.862074304390692
NAIRU[7],6.130242900119886,5.789678617468878,6.478344870635894,5.916494103917071,6.349581832077001,1999 Q2,6.885881366666666,-1.1469027348764982,1.188810386365824,0.712761392423289
NAIRU[8],6.178778135716493,5.8296037963801135,6.534470326309028,5.9572593767168085,6.401203380399754,1999 Q3,6.8740763,-5.666003356549165,-0.7275899457054535,0.7077170374084396
NAIRU[9],6.246783578747177,5.886987970293563,6.6116489328387855,6.02056401640622,6.473810470768463,1999 Q4,6.633631266666667,-3.9118416595471217,1.0629771772195262,0.7027435807457572
NAIRU[10],6.2969797177792195,5.933128886318907,6.670675217038884,6.067550415602134,6.531441995783103,2000 Q1,6.650682266666666,-2.0131970951924316,1.2897047659893746,0.5586606708638975
NAIRU[11],6.350269038805026,5.98044935319787,6.728336803368652,6.117299655313268,6.587007035410233,2000 Q2,6.3018415999999995,4.170891253848286,0.21449122099721496,0.9702085806450711
NAIRU[12],6.387571273442985,6.011646305598374,6.777907341505364,6.1502099530205045,6.630944712016763,2000 Q3,5.989475933333333,5.919918008416758,1.626074060867122,0.8241804895104288
NAIRU[13],6.403201683826849,6.026179124982403,6.794767961905864,6.1639890641235,6.64883761984696,2000 Q4,6.1718063999999995,8.981477240732882,1.6769681688598492,0.95303648506934735
NAIRU[14],6.398547972701365,6.020746829596648,6.7919017853687755,6.159306522095452,6.645105219458936,2001 Q1,6.366921866666667,8.228463259096674,0.8866873053654523,0.944039377908723
NAIRU[15],6.385929577874025,6.003499390939958,6.776746987070443,6.14367321499058,6.632349766802784,2001 Q2,6.869281033333333,8.246203732647572,0.497283463583309,0.9352105570280322
