name,median,lower5,upper95,vintage
NAIRU[1],5.58673713750985,5.208712416303667,5.961667865859847,2024-04-24
NAIRU[2],5.611034170592173,5.198329610539353,6.037705043534116,2024-04-24
NAIRU[3],5.631745288002725,5.19204001594038,6.110168747841378,2024-04-24
NAIRU[4],5.658547048592048,5.193615496299217,6.1637893299879485,2024-04-24
NAIRU[5],5.681769439369157,5.197922962409805,6.222769115104022,2024-04-24
NAIRU[6],5.714772359471379,5.216329696185495,6.2904017597114805,2024-04-24
NAIRU[7],5.750422074923251,5.237086737133805,6.365064884416076,2024-04-24
NAIRU[8],5.786630216545666,5.259380329534199,6.442532152912621,2024-04-24
NAIRU[9],5.81657113596467,5.276607023947611,6.5117853366317995,2024-04-24
NAIRU[10],5.841748659396782,5.2857183797727645,6.5579682876057,2024-04-24
NAIRU[11],5.8587735893397035,5.293323411853896,6.590722075484362,2024-04-24
NAIRU[12],5.886881487420931,5.3065119551110556,6.658246778408117,2024-04-24
NAIRU[13],5.918400222465431,5.315831226378511,6.734573097491375,2024-04-24
NAIRU[14],5.9410240617065,5.3213070846161115,6.814625802697092,2024-04-24
NAIRU[15],5.93829662134622,5.316561825913844,6.81266215972645,2024-04-24
NAIRU[16],5.926479330030224,5.3064063994433806,6.792361525414555,2024-04-24
NAIRU[17],5.913711194292349,5.29803537251922,6.762749115852013,2024-04-24
NAIRU[18],5.895545754732711,5.284890195831953,6.713154474262886,2024-04-24
NAIRU[19],5.870190777027448,5.270628222246968,6.654806870202945,2024-04-24
NAIRU[20],5.858530135501159,5.263773438969578,6.618713523699996,2024-04-24
NAIRU[21],5.838545998567289,5.254291622637226,6.575786016228149,2024-04-24
NAIRU[22],5.820633794956516,5.2440975178760425,6.539320904977091,2024-04-24
NAIRU[23],5.786844217625347,5.226188902188359,6.471667684156607,2024-04-24
NAIRU[24],5.755053244662465,5.203349527409824,6.415356537039619,2024-04-24
NAIRU[25],5.730262257756328,5.187915160613528,6.374285171377225,2024-04-24
NAIRU[26],5.707633056747602,5.176083734590317,6.342442423554637,2024-04-24
NAIRU[27],5.678429072082915,5.158633359144853,6.297628579246176,2024-04-24
NAIRU[28],5.65920797436469,5.145822639172492,6.270600274420632,2024-04-24
NAIRU[29],5.638512363119073,5.131474319936117,6.246516201376469,2024-04-24
NAIRU[30],5.60231393420205,5.0986642577478145,6.202923782151471,2024-04-24
NAIRU[31],5.57996569036478,5.0747996117600715,6.174303614332407,2024-04-24
NAIRU[32],5.567465559294954,5.066352483293742,6.158697964478199,2024-04-24
NAIRU[33],5.5578233279219,5.0626328146221535,6.153921503906906,2024-04-24
NAIRU[34],5.553646835808479,5.061698692799137,6.157066751577239,2024-04-24
NAIRU[35],5.53009662705667,5.041110352801734,6.128736450748888,2024-04-24
NAIRU[36],5.49887909976925,5.009658219535524,6.094368306165791,2024-04-24
NAIRU[37],5.488797502642232,4.995048373153863,6.080358125899599,2024-04-24
NAIRU[38],5.4828828611585045,4.994405872204243,6.0839819952550975,2024-04-24
NAIRU[39],5.490842751268585,5.008640299262628,6.104712563529958,2024-04-24
NAIRU[40],5.4838475289662805,4.995359685381419,6.109648718583278,2024-04-24
NAIRU[41],5.481786718792309,4.989415120907811,6.130422465244797,2024-04-24
NAIRU[42],5.459070147046681,4.963915707810429,6.103585778756445,2024-04-24
NAIRU[43],5.4286488726860735,4.933915254487673,6.070719571896951,2024-04-24
NAIRU[44],5.3843632077867,4.876037818709951,5.999058010886454,2024-04-24
NAIRU[45],5.3367345461542754,4.82187990495105,5.91839524753355,2024-04-24
NAIRU[46],5.315036623181718,4.792990519275629,5.890977569954618,2024-04-24
NAIRU[47],5.301686922432907,4.787793543288712,5.870526862062403,2024-04-24
NAIRU[48],5.292102634526556,4.781736674528774,5.858567759883345,2024-04-24
NAIRU[49],5.275098859490652,4.760075108691593,5.838705470045777,2024-04-24
NAIRU[50],5.249059885162051,4.730604892395106,5.802338822362174,2024-04-24
NAIRU[51],5.210407820058897,4.68745218111,5.753299969773061,2024-04-24
NAIRU[52],5.181717310230902,4.65200958608059,5.7123272280955,2024-04-24
NAIRU[53],5.150403401883828,4.610262673934876,5.678735533699239,2024-04-24
NAIRU[54],5.130340665769653,4.590021047699754,5.6582080183328305,2024-04-24
NAIRU[55],5.082741022505759,4.528357521902631,5.601564909050449,2024-04-24
NAIRU[56],5.032224826555217,4.449176663503247,5.542425461504364,2024-04-24
NAIRU[57],5.001412917195658,4.393662441645256,5.507247509334845,2024-04-24
NAIRU[58],4.976478092504628,4.361427325629633,5.4831077502586165,2024-04-24
NAIRU[59],4.95822007307159,4.338869029841921,5.468041645819359,2024-04-24
NAIRU[60],4.949649914262207,4.331165845542428,5.456619454701345,2024-04-24
NAIRU[61],4.947567529109497,4.328267675251178,5.457518632996081,2024-04-24
NAIRU[62],4.942647518138332,4.318365334244751,5.456626557599959,2024-04-24
NAIRU[63],4.945874850213517,4.317537597725739,5.473684479812278,2024-04-24
NAIRU[64],4.942848446627876,4.306899308947738,5.478890064555593,2024-04-24
NAIRU[65],4.933222480570745,4.293574462092844,5.482068694406097,2024-04-24
NAIRU[66],4.909308631195012,4.257020632534801,5.453355524642592,2024-04-24
NAIRU[67],4.893301563746881,4.228808709765354,5.43539742663614,2024-04-24
NAIRU[68],4.867809598044014,4.191405113628238,5.408583418701214,2024-04-24
NAIRU[69],4.847860769347202,4.166161919428826,5.392958177119819,2024-04-24
NAIRU[70],4.823403159156515,4.126566291588988,5.361102672934454,2024-04-24
NAIRU[71],4.796278782436867,4.0889355082809375,5.338456719362303,2024-04-24
NAIRU[72],4.762263641783829,4.0409113425198555,5.302559332571027,2024-04-24
NAIRU[73],4.741179863414162,4.011804595926406,5.283192002636322,2024-04-24
NAIRU[74],4.7137500639874155,3.969085133555029,5.257766506541815,2024-04-24
NAIRU[75],4.702951129913907,3.962615654944095,5.24581626528421,2024-04-24
NAIRU[76],4.696547242744057,3.9642438282948045,5.245742618083454,2024-04-24
NAIRU[77],4.693150296116085,3.961167334039159,5.24159604841326,2024-04-24
