variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg
NAIRU[1],5.84690338416883,5.470630094652033,6.22366308993416,5.609636837341805,6.083486718648226,1997 Q4,7.976021996748106,6.3871470386661855
NAIRU[2],5.996214366788383,5.566903444269234,6.4304131020794735,5.719051549690536,6.260626902133858,1998 Q1,7.8396055088523315,8.205906323515144
NAIRU[3],6.128670619899692,5.614170079849723,6.620385298428103,5.804013437065178,6.439500465723544,1998 Q2,7.733143539293041,10.244080555449209
NAIRU[4],6.249914800155071,5.703120523688129,6.796374115132391,5.889314958406613,6.566149879337594,1998 Q3,7.786993133132569,11.102625319350423
NAIRU[5],6.32028753588903,5.799328448382443,6.908537013771583,5.973631496955005,6.705686166416878,1998 Q4,7.3740286201655625,6.51638942498538
NAIRU[6],6.416428270651586,5.836799149917685,7.049646570399573,6.055553871461562,6.821533163014546,1999 Q1,7.08157189056463,3.2587647998844282
NAIRU[7],6.4926662714667795,5.865749153291888,7.12163617029619,6.072656349863934,6.868849291886557,1999 Q2,6.885161385094019,-1.1469027348764982
NAIRU[8],6.556557681937207,5.895355497627106,7.217275120302772,6.129989541510822,6.935110596165932,1999 Q3,6.873846195658862,-5.666003356549165
NAIRU[9],6.584978502216586,5.908854031260304,7.246416210798106,6.147769499492034,7.012156885099371,1999 Q4,6.63320307442582,-3.9118416595471217
NAIRU[10],6.6508554663541695,5.9754112519070075,7.315991932474477,6.231798765901154,7.051105708027315,2000 Q1,6.649737822990609,-2.0131970951924316
NAIRU[11],6.7275746296058365,5.990729126706305,7.392807266051911,6.315908064288074,7.145719897623515,2000 Q2,6.301169713740595,4.170891253848286
NAIRU[12],6.776469963695323,6.1178544590331185,7.4309365585788285,6.348823263151251,7.182556352030767,2000 Q3,5.988972299770068,5.919918008416758
NAIRU[13],6.905231205748256,6.183400551637349,7.5594134402453,6.42911070168091,7.345035713358726,2000 Q4,6.171110815012282,8.981477240732882
NAIRU[14],6.996351641488258,6.230307899539305,7.671544628136346,6.543368241734427,7.409212277528993,2001 Q1,6.366656106268776,8.228463259096674
NAIRU[15],7.0036305531583345,6.213731585215809,7.752650653032616,6.546121070989214,7.468824033504621,2001 Q2,6.868653558839721,8.246203732647572
NAIRU[16],6.981902940869311,6.233014819505084,7.766161470492213,6.532131573581701,7.479733631080445,2001 Q3,6.866769455059907,5.66886876816568
NAIRU[17],6.998354740313032,6.229478154517107,7.767807487025474,6.5241722386839784,7.440180038122697,2001 Q4,6.978651245402467,2.8755974987303645
NAIRU[18],6.959043564714936,6.203936488086639,7.707071599618044,6.4951040615696884,7.428226735541034,2002 Q1,6.625910429425986,1.9355442952956103
NAIRU[19],6.952695143531461,6.229416026015242,7.705435850385356,6.48626262422481,7.372743491800321,2002 Q2,6.404006771732529,-4.324132417319415
NAIRU[20],6.959827705220471,6.248402647847056,7.683060537740457,6.50035572477136,7.38612187538723,2002 Q3,6.279817567430889,-2.753210339020118
NAIRU[21],6.951615742784867,6.244222874273767,7.689839130547834,6.468491596717328,7.3867749059002605,2002 Q4,6.15702103423279,-4.345011692652445
NAIRU[22],6.939210375200769,6.242665152128295,7.709157584966326,6.474766171996882,7.385320225388353,2003 Q1,6.054938495464802,-4.659608729443221
NAIRU[23],6.892359908114052,6.2031972359207685,7.6437614363689494,6.448742988324733,7.34061429349154,2003 Q2,6.050362916699914,-5.552309049921789
NAIRU[24],6.870975098095972,6.229566291841049,7.649201963703655,6.439412787753302,7.286279516007895,2003 Q3,5.906099733283066,-8.031641781620547
NAIRU[25],6.861164201145595,6.181585862324181,7.625082391932791,6.397300651142214,7.282734557601128,2003 Q4,5.708123835267475,-10.389959501815138
NAIRU[26],6.792692998801957,6.156801343307131,7.539669282223763,6.371980861650545,7.19212158668253,2004 Q1,5.536391478582869,-11.98772772594987
NAIRU[27],6.728041676170236,6.103240478294096,7.498805981994513,6.336339966095171,7.156201181050926,2004 Q2,5.4350746959400675,-6.52308022313326
NAIRU[28],6.716501369657135,6.087213116687783,7.4286881951967105,6.345787775724485,7.167482511121328,2004 Q3,5.4786046433885405,-2.613938820303563
NAIRU[29],6.734535700233666,6.0915764403182475,7.422377378406625,6.311905353482763,7.155045932741696,2004 Q4,5.1168694156793375,-2.0277192439150937
NAIRU[30],6.688654603831346,6.078878301248585,7.383857479771365,6.289638952631745,7.089789379800183,2005 Q1,5.106451865361528,-0.5676458004804985
NAIRU[31],6.655022340874574,6.0732167390732865,7.37895431518675,6.289146934154693,7.040829336555901,2005 Q2,5.056412459856086,-2.6194201090823377
NAIRU[32],6.589160767948529,5.981371245796019,7.319994262542843,6.209247476344043,7.021525054174636,2005 Q3,4.957913278411152,-2.6841037524811817
NAIRU[33],6.568857041122376,5.941146967902433,7.313197687951962,6.205879703241683,6.97832310734799,2005 Q4,5.007254883596001,-1.0294896726862568
NAIRU[34],6.539160351898175,5.937758521994164,7.286732083728736,6.171493319507801,6.935353418219447,2006 Q1,5.04378022530606,1.1320875624481808
NAIRU[35],6.477759547828775,5.836122805736061,7.221244435465322,6.091653173940124,6.860186601120768,2006 Q2,4.85659567910306,1.2246973609973288
NAIRU[36],6.399837548160758,5.7743192593770765,7.1332688959424235,6.025124428110019,6.767396259094815,2006 Q3,4.67777345497824,-0.7532992307544895
NAIRU[37],6.381248660621155,5.767350002882198,7.090060466766468,6.0069812430423415,6.80159603819664,2006 Q4,4.515033279986513,-1.5166167471410752
NAIRU[38],6.348337959545226,5.715728397413735,7.0748156224312675,5.954771622426943,6.805295114005678,2007 Q1,4.549123169714376,-2.2771382412477337
NAIRU[39],6.329815982122852,5.698913003314246,7.121969289798142,5.952312377079016,6.742321953074676,2007 Q2,4.3242964159429516,-4.011999378942566
NAIRU[40],6.295252466201316,5.711681156524409,7.028530091295645,5.877844019151555,6.7157907242756405,2007 Q3,4.254672889132682,-4.050698427981736
NAIRU[41],6.246314113358587,5.649218031124812,6.966084555133313,5.842798766267074,6.690542251542758,2007 Q4,4.353300947042371,-4.293342290860114
NAIRU[42],6.241334642095782,5.602919837399442,6.921178002984787,5.857306251401632,6.6192215823203036,2008 Q1,4.0849835860748085,-2.8225718064629035
NAIRU[43],6.227692468905898,5.619619379560192,6.89553490439645,5.838995319636037,6.663782310840132,2008 Q2,4.257985025738098,-2.366974408590483
NAIRU[44],6.201307711077424,5.622234315111617,6.917321613476572,5.876955198789188,6.654938243307169,2008 Q3,4.184482356866493,0.5888142625222414
NAIRU[45],6.163021890025778,5.6074811557948365,6.856899540652209,5.799616614515835,6.582961166686136,2008 Q4,4.440587203785862,15.997331929834147
NAIRU[46],6.146752794317021,5.593255296677259,6.825069334006893,5.796632707105385,6.57178917711244,2009 Q1,5.307365407263365,17.60498742460772
NAIRU[47],6.0996138329831435,5.569788389595072,6.791482234067349,5.734810454014654,6.505859805759405,2009 Q2,5.7284025785405035,12.903025974373161
NAIRU[48],6.030033461071235,5.510512870297762,6.705272316737431,5.70198710274246,6.4790393994603,2009 Q3,5.682494609081779,6.166011635755986
NAIRU[49],6.04329035534812,5.493369307518946,6.712356803614893,5.70110165463112,6.468557858425042,2009 Q4,5.557039039507716,-12.760168444084918
NAIRU[50],6.076202137418713,5.495587845095689,6.712388680981786,5.702155773523291,6.466771389686507,2010 Q1,5.328311809659725,-14.112877009846336
NAIRU[51],6.047891421151207,5.478759668963978,6.69508800277993,5.664399281332967,6.441286559613961,2010 Q2,5.29037371990404,-7.654007712233479
NAIRU[52],6.073750552650033,5.504009994730636,6.720894676369006,5.710649054437019,6.467054764678551,2010 Q3,5.124087671859822,-3.0829158019901826
NAIRU[53],6.079980047555225,5.479567731360811,6.739100772434972,5.690683417880916,6.4667989652887226,2010 Q4,5.089561194129056,-2.3438572972017013
NAIRU[54],6.061402654050994,5.448636002448537,6.694001231666945,5.673777403306592,6.442681305724721,2011 Q1,4.966745406633732,-4.185525773661247
NAIRU[55],5.997026898415041,5.395696628302077,6.6901632674224345,5.645254147511833,6.37946863937144,2011 Q2,4.962764457176549,-5.84962066816086
NAIRU[56],5.9880562722960224,5.38697496007608,6.612046562027516,5.6287746707657,6.384570332459161,2011 Q3,5.194261643943721,-5.760499194271507
NAIRU[57],6.022911565860296,5.430022796953178,6.677393707956547,5.6460925269115565,6.429111197418352,2011 Q4,5.204654029517897,0
NAIRU[58],5.97436861540272,5.405156580457859,6.637153224913932,5.597858893810585,6.404465844879312,2012 Q1,5.140649845502665,-2.2111453607431386
NAIRU[59],5.904510533582601,5.355549448743463,6.540187024084994,5.555378360952055,6.289052572342149,2012 Q2,5.119070276716153,1.197619104671599
NAIRU[60],5.817042262045701,5.288965219289783,6.470039985425795,5.466297238603293,6.170540993481999,2012 Q3,5.275412873272323,0
NAIRU[61],5.717484221838183,5.196167959634296,6.304970010323264,5.365352642019532,6.078128690948514,2012 Q4,5.366095915161528,-1.996074256253788
NAIRU[62],5.6430853063399145,5.118298653731088,6.17419619708135,5.318754939671203,5.983701952162796,2013 Q1,5.4748997884011,0.708863727773501
NAIRU[63],5.553352274989564,5.0350010466501764,6.1106425757148655,5.2348348381694585,5.921512255101886,2013 Q2,5.630928621718512,-0.5970166986504211
NAIRU[64],5.501918991681935,5.011534272766166,6.050434783313435,5.159616870156532,5.844410503146339,2013 Q3,5.727648684302,5.475463371835865
