name,median,lower5,upper95,vintage
NAIRU[100],4.631343458990414,4.281689291701583,4.962196497824433,2024-Q3
NAIRU[101],4.643397280636265,4.326007533646542,4.986023022330007,2024-Q3
NAIRU[102],4.65286999722643,4.31554019360851,5.009462525011587,2024-Q3
NAIRU[103],4.668672495021998,4.344748513340316,5.046938715127046,2024-Q3
NAIRU[104],4.6765523457954625,4.318700560055676,5.050988546971539,2024-Q3
NAIRU[105],4.685265820406434,4.347566953754201,5.06777391754481,2024-Q3
NAIRU[106],4.701534297372346,4.31068038944039,5.070301157792295,2024-Q3
NAIRU[107],4.69076955533189,4.300461326702799,5.102556958595903,2024-Q3
NAIRU[108],4.686129060539997,4.266028660868683,5.109408833090273,2024-Q3
NAIRU[10],6.091469228842611,5.742380900321329,6.464400176988144,2024-Q3
NAIRU[11],6.116276618494554,5.716413983184641,6.525928308266451,2024-Q3
NAIRU[12],6.141128736077205,5.73873253578609,6.52533444457739,2024-Q3
NAIRU[13],6.118149695125813,5.757808603236117,6.517082740642832,2024-Q3
NAIRU[14],6.119221437242219,5.720571985853654,6.519774124126074,2024-Q3
NAIRU[15],6.096803175518976,5.739268990393859,6.515122056367691,2024-Q3
NAIRU[16],6.065545865720445,5.693416153469898,6.446198357603473,2024-Q3
NAIRU[17],6.025135425136613,5.641656247678597,6.432274878009487,2024-Q3
NAIRU[18],5.987247196350651,5.607498518324117,6.375352934448891,2024-Q3
NAIRU[19],5.915699241863186,5.543921701986131,6.280239160974544,2024-Q3
NAIRU[1],5.772892442283862,5.4969713999267205,6.083182219010325,2024-Q3
NAIRU[20],5.872945480661672,5.481803347848703,6.240434195350268,2024-Q3
NAIRU[21],5.810029417498349,5.4505441773253995,6.211105222613839,2024-Q3
NAIRU[22],5.770600091993851,5.415900639024555,6.151471838057478,2024-Q3
NAIRU[23],5.699919903301854,5.360660509757846,6.057989233341007,2024-Q3
NAIRU[24],5.649066644939179,5.28292044537167,5.970909881286598,2024-Q3
NAIRU[25],5.583280812866495,5.220132735902861,5.917912381332737,2024-Q3
NAIRU[26],5.528502485414576,5.1794561030814625,5.863276785843458,2024-Q3
NAIRU[27],5.490827444479214,5.110969146930373,5.8413904220510755,2024-Q3
NAIRU[28],5.45016251166573,5.084935438027608,5.77012506785278,2024-Q3
NAIRU[29],5.39929799212307,5.0476735486944735,5.779019469844312,2024-Q3
NAIRU[2],5.824490544990876,5.517235722268113,6.1377200817541055,2024-Q3
NAIRU[30],5.34095470949006,5.009787405751177,5.7195239636354955,2024-Q3
NAIRU[31],5.301180043418653,4.943791137894102,5.715970073390068,2024-Q3
NAIRU[32],5.26926983517522,4.895843551823635,5.7159788347614775,2024-Q3
NAIRU[33],5.258335890096987,4.8991532300396115,5.626549565458021,2024-Q3
NAIRU[34],5.233865352534226,4.913582823543063,5.621278970701415,2024-Q3
NAIRU[35],5.221256796551275,4.866998254462668,5.578974055247507,2024-Q3
NAIRU[36],5.230996673506061,4.859096333074222,5.574506516399621,2024-Q3
NAIRU[37],5.227435776175497,4.873336060663723,5.58236591681003,2024-Q3
NAIRU[38],5.203737656912992,4.8697582485915305,5.554119718606818,2024-Q3
NAIRU[39],5.216957452972835,4.896152300382414,5.535008233475157,2024-Q3
NAIRU[3],5.844688614158455,5.544227697868085,6.1989439849304615,2024-Q3
NAIRU[40],5.190981805026251,4.881001411128614,5.502453865583613,2024-Q3
NAIRU[41],5.158931965954783,4.8355417050619796,5.484508468991005,2024-Q3
NAIRU[42],5.112570906955286,4.794798581585994,5.418979791817811,2024-Q3
NAIRU[43],5.064935914640242,4.727506119572952,5.382568879814462,2024-Q3
NAIRU[44],5.0243772075748865,4.660409811163376,5.339089841624268,2024-Q3
NAIRU[45],4.963782721803641,4.605888120909872,5.294553732043809,2024-Q3
NAIRU[46],4.930995020141827,4.608278001275414,5.298708340933112,2024-Q3
NAIRU[47],4.913749497407817,4.5602511790089935,5.274151983941251,2024-Q3
NAIRU[48],4.892170217357572,4.506370502764815,5.266201631417864,2024-Q3
NAIRU[49],4.876153683499991,4.456689317324596,5.254984281216984,2024-Q3
NAIRU[4],5.8861993604378675,5.560286899636361,6.2191868105239525,2024-Q3
NAIRU[50],4.840348228512434,4.4756992106555025,5.222453994248948,2024-Q3
NAIRU[51],4.829603665806189,4.439985944084021,5.186935579396845,2024-Q3
NAIRU[52],4.805760975827301,4.417637489992405,5.2033897417736,2024-Q3
NAIRU[53],4.752611792864986,4.386363423629451,5.150811048335064,2024-Q3
NAIRU[54],4.73955986745295,4.384278309724077,5.12043920606781,2024-Q3
NAIRU[55],4.720584179586506,4.359962982718596,5.099967903431797,2024-Q3
NAIRU[56],4.6934148192951,4.30637795885033,5.072810058657756,2024-Q3
NAIRU[57],4.679221200348341,4.288835807725571,5.057340794969453,2024-Q3
NAIRU[58],4.680570256466327,4.2984712776046505,5.048655032431151,2024-Q3
NAIRU[59],4.679040355165911,4.300883375301776,5.077567632598473,2024-Q3
NAIRU[5],5.9289598185560415,5.580123489686584,6.247095768456529,2024-Q3
NAIRU[60],4.696190311415007,4.30385301008919,5.070888890147409,2024-Q3
NAIRU[61],4.707076264650929,4.284499828010132,5.089926185738344,2024-Q3
NAIRU[62],4.722302281896574,4.2785655029639,5.136680099629708,2024-Q3
NAIRU[63],4.7372784510664285,4.307744443943629,5.125688043066856,2024-Q3
NAIRU[64],4.727372635917003,4.29740697535013,5.1208566113010185,2024-Q3
NAIRU[65],4.734431735686541,4.315426833095988,5.155247118925039,2024-Q3
NAIRU[66],4.730658763785616,4.317710037202908,5.110282693704519,2024-Q3
NAIRU[67],4.734050105813383,4.3027326703822455,5.072157990761925,2024-Q3
NAIRU[68],4.698925923997025,4.285345630353436,5.0588102332340945,2024-Q3
NAIRU[69],4.670911157021793,4.26689691688871,5.068654298153367,2024-Q3
NAIRU[6],5.96084712434393,5.618703484286104,6.292167266394256,2024-Q3
NAIRU[70],4.657376332544347,4.223866558022616,5.0178530357299005,2024-Q3
NAIRU[71],4.633620719588823,4.2452371962138065,5.044182755773762,2024-Q3
NAIRU[72],4.589471541933706,4.22177897842037,4.998050149252872,2024-Q3
NAIRU[73],4.592084646255575,4.223754676531646,4.968782683962027,2024-Q3
NAIRU[74],4.577802387827353,4.1683403631465055,4.920137360808139,2024-Q3
NAIRU[75],4.572798571496163,4.173801752006763,4.890237386646362,2024-Q3
NAIRU[76],4.557762484320195,4.152427076268301,4.886958067349161,2024-Q3
NAIRU[77],4.547427967938819,4.130217456269827,4.853489511467388,2024-Q3
NAIRU[78],4.51944337905225,4.125998744423026,4.869652293405458,2024-Q3
NAIRU[79],4.518733883081997,4.109791339306108,4.853856896033344,2024-Q3
NAIRU[7],5.982511789299927,5.6364825447120905,6.354089123988864,2024-Q3
NAIRU[80],4.50953218244716,4.1277296438388795,4.847915122579267,2024-Q3
NAIRU[81],4.493907428934804,4.102144868310897,4.804660189433632,2024-Q3
NAIRU[82],4.505724257596276,4.070704377320381,4.816599149233054,2024-Q3
NAIRU[83],4.461432625446261,4.069250947905557,4.7924273203772625,2024-Q3
NAIRU[84],4.465007879710841,4.0998848386548765,4.782385106912018,2024-Q3
NAIRU[85],4.4669308140796975,4.0707077512258465,4.786503051629038,2024-Q3
NAIRU[86],4.466671123494152,4.092478023245562,4.796063879599917,2024-Q3
NAIRU[87],4.459117435376157,4.073563385103821,4.7901108846505664,2024-Q3
NAIRU[88],4.469784751092799,4.068325807199678,4.77365985245631,2024-Q3
NAIRU[89],4.497548639784176,4.113850814536619,4.824852368592997,2024-Q3
NAIRU[8],6.009055939048341,5.651608811320377,6.436716563531609,2024-Q3
NAIRU[90],4.507076414838634,4.134949562831344,4.871994388314191,2024-Q3
NAIRU[91],4.51325524514556,4.15285464226461,4.8629362730473,2024-Q3
NAIRU[92],4.515621522906246,4.1661225071406145,4.919846120785346,2024-Q3
NAIRU[93],4.536854550139382,4.172734265352902,4.899467590177866,2024-Q3
NAIRU[94],4.559039226812121,4.207376608733697,4.906852878126625,2024-Q3
NAIRU[95],4.568993128346282,4.211761236933794,4.931343768277652,2024-Q3
NAIRU[96],4.56754302730393,4.2230403728288,4.972437538436506,2024-Q3
NAIRU[97],4.567410544258971,4.2327217193214866,4.974686380514585,2024-Q3
NAIRU[98],4.5775642726789085,4.216143366241964,4.9238227963877055,2024-Q3
NAIRU[99],4.609677133650878,4.2330945740891694,4.9700773039136035,2024-Q3
NAIRU[9],6.0536605439625095,5.689146729455922,6.441912724655292,2024-Q3
